,Column1,Column2,Column3,Year,Name,Time
Event,Year,Name,Time,,,
,2011,"Kassie Guglielmino, Northport 10",60.48,,,
,2010,"Kassie Guglielmino, Northport 9",,,,
,2009,"Liz Vogt, Trout Lake-Glenwood 10",61.85,,,
,2008,"Myisha Valentine, North Sound Chr 12",58.4,,,
,2007,"Diana Batson, Pateros 11",,,,
,Year,Name,Time,,,
,Class 4A,,,,,
,2024,"Rebecca O'Keefe, Skyline 12",4:45.44,,,
,2023,"Anna Callahan, Skyline 11",4:44.05,,,
,2022,"Ella Borsheim, Bellarmine Prep 12",4:54.17,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Julia David-Smith, Issaquah 10",4:50.35,,,
,2018,"Sami Corman, Issaquah 12",4:50.76,,,
,2017,"Taylor Roe, Lake Stevens 10",4:54.86,,,
,2016,"Taylor Roe, Lake Stevens 9",4:50.34,,,
,2015,"Sami Corman, Issaquah 9",4:55.27,,,
,2014,"Alexa Efraimson, Camas 11",4:33.29,,,
,2013,"Alexa Efraimson, Camas 10",4:39.25,,,
,2012,"Jordan McPhee, Mt Rainier 10",5:01.27,,,
,2011,"Tansey Lystad, Inglemoor 12",4:54.25,,,
,2010,"Baylee Mires, Mead 11",4:53.52,,,
,2009,"Baylee Mires, Mead 10",4:56.35,,,
,2008,"Mietra Smollack, Oak Harbor 12",4:56.44,,,
,2007,"Nicole Cochran, Bellarmine Prep 11",4:55.94,,,
,2006,"Megan O'Reilly, Mt Spokane 12",4:46.58,,,
,2005,"Brie Felnagle, Bellarmine 12",4:42.28,,,
,2004,"Brie Felnagle, Bellarmine 11",4:47.71,,,
,2003,"Brianna Felnagle, Bellarmine 10",4:52.48,,,
,2002,"Jessie McLaughlin, Olympia 12",5:01.92,,,
,2001,"Jessie McLaughlin, Olympia 11",4:53.72,,,
,2000,"Jessie McLaughlin, Olympia 10",4:58.75,,,
,1999,"Jamie Rosenquist, Lewis & Clark",5:04.41,,,
,1998,"Jeannette Zimmer, South Kitsap",4:58.83,,,
,1997,"Jennifer Smith, Ferris",4:50.78,,,
,1996,"Kristen Parrish, Ferris",4:52.63,,,
,1995,"Mariah McConnaughey, Ferris",5:04.28,,,
,1994,"Sarna Renfro, Bellarmine",4:46.85,,,
,1993,"Sarna Renfro, Bellarmine",4:54.35,,,
,1992,"Sarna Renfro, Bellarmine",4:57.41,,,
,1991,"Jolene Staeheli, Bellarmine",4:56.37,,,
,1990,"Sarah Schwald, Rogers-Spo",4:48.54,,,
,1989,"Sarah Schwald, Mead",4:52.06,,,
,1988,"Lisa Dressel, Shadle Park",5:01.39,,,
,1987,"Jennifer Robertson, Rogers-Puy",4:59.05,,,
,1986,"Libby Tyson, Walla Walla",5:01.84,,,
,1985,"Lisa Corp, Mead",4:59.76,,,
,1984,"Michelle Swanson, Auburn",5:01.96,,,
,1983,"Annette Hand, Central Valley",4:48.2,,,
,1982,"Pam Paudler, Redmond",4:53.17,,,
,1981,"Linda Mitchell, Sammamish",4:58.06,,,
,Mile,,,,,
,1980,"Lisa Mitchell, Sammamish",4:54.7,,,
,1979,"Laurie Shansby, Shorecrest",4:58.5,,,
,1978,"Deanna Coleman, Issaquah",4:42.5,,,
,1977,"Pam Happy, Meadowdale",5:03.7,,,
,1976,"Molly O’Neil, Everett",5:10.6,,,
,1975,"Cheryl Roulier, Eisenhower",5:14.9,,,
,1974,"Molly O’Neil, Everett",5:14.0,,,
,1973,"Molly O’Neil, Everett",5:38.9,,,
,1972,"Laurel Miller, Shoreline",5:30.2,,,
,1971,"Nancy Main, Ingraham",5:43.5,,,
,1970,"Heather Southerland, Hudson’s Bay",5:58.4,,,
,1969,"Linda Mims, Granger",6:11.5,,,
,Class 3A,,,,,
,2024,"Sophia Rodriguez, Mercer Island 9",4:48.69,,,
,2023,"Julia Couch, Auburn Riverside 10",4:52.04,,,
,2022,"Lily LaPorte, Bishop Blanchet 9",4:57.71,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Allie Janke, North Central 10",4:43.60,,,
,2018,"Allie Janke, North Central 9",4:55.48,,,
,2017,"Jordan Oakes, Holy Names 12",4:50.27,,,
,2016,"Jordan Oakes, Holy Names 11",4:46.80,,,
,2015,"Jordan Oakes, Holy Names 10",4:47.11,,,
,2014,"Megan Beauchene, Kamiakin 12",4:48.42,,,
,2013,"Amy-Eloise Neale, Glacier Peak 12",4:44.88,,,
,2012,"Katie Knight, North Central 11",4:50.20,,,
,2011,"Amy-Eloise Neale, Glacier Peak 10",4:46.56,,,
,2010,"Amy-Eloise Neale, Glacier Peak 9",4:54.82,,,
,2009,"Phoebe Merritt, Mercer Island 12",5:08.82,,,
,2008,"Micheal Paulston, Auburn 10",5:04.17,,,
,2007,"Lisa Olander, West Valley-Yak 10",4:51.05,,,
,2006,"Lisa Olander, West Valley-Yak 9",5:01.22,,,
,2005,"Kelsey Walker, Bellevue 11",5:05.84,,,
,2004,"Kelsey Walker, Bellevue 10",5:04.06,,,
,2003,"Marie Foushee, Bellevue 12",5:18.65,,,
,2002,"Amanda Miller, Eastmont 10",5:01.56,,,
,2001,"Ashlee Vincent, Squalicum",5:02.91,,,
,2000,"Megan Johnson, Seattle Prep",4:58.44,,,
,1999,"Megan Johnson, Seattle Prep",5:05.93,,,
,1998,"Leann Hymas, South Whidbey",5:00.07,,,
,1997,"Darcy Steele, Aberdeen",5:06.20,,,
,1996,"Leah Paddock, Lindbergh",5:08.09,,,
,1995,"Jeannette Zimmer, Cheney",5:03.69,,,
,1994,"Michelle Teodoro, Gig Harbor",5:00.66,,,
,1993,"Susanna Matsen, Lakeside",4:59.40,,,
,1992,"Christine Dehlendorf, Lakeside",5:05.39,,,
,1991,"Suzanne Matsen, Lakeside",5:03.18,,,
,1990,"Erica Koenig, Seattle Prep",5:12.4,,,
,1989,"Casi Montoya, Eastmont",5:02.17,,,
,1988,"Stephanie Malnack, Lynnwood",5:07.16,,,
,1987,"Erika Klein, Edmonds",5:09.23,,,
,1986,"Rebecca Rivkin, Lakeside",5:01.55,,,
,1985,"Pam Eyman, Shorewood",4:58.57,,,
,1984,"Pam Eyman, Shorewood",4:57.51,,,
,1983,"Patty Ley, Gig Harbor",4:57.10,,,
,1982,"Adrianne Lorvick, Shorecrest",5:02.39,,,
,1981,"Patty Ley, Gig Harbor",5:07.7,,,
,1980,"Cressy Stewart, Bellingham",5:06.39,,,
,Mile,,,,,
,1979,"Anna Morris, Tahoma",5:13.1,,,
,1978,"Colleen Spadoni, Peninsula",5:13.3,,,
,1977,"Mary Cronin, Bainbridge",5:06.7,,,
,1976,"Diane Wyvel, Shorewood",5:15.0,,,
,1975,"Louise Schibig, Wapato",5:35.5,,,
,Class 2A,,,,,
,20204,"Logan Hofstee, East Valley (Spo) 12",4:51.29,,,
,2023,"Jessica Frydenlund, Anacortes 12",4:59.87,,,
,2022,"Alauna Carstens, Shelton 12",4:58.34,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Annika Reiss, Bellingham 12",4:57.56,,,
,2018,"Gracie Long, Port Angeles 12",4:58.72,,,
,2017,"Annika Reiss, Bellingam 10",4:59.16,,,
,2016,"Abby Johnson, Sehome 11",5:07.05,,,
,2015,"Brittany Aquino, E Valley (Spo) 11",4:59.60,,,
,2014,"Katia Matora, Lake Washington 11",5:00.18,,,
,2013,"Emily Pittis, Sehome 10",5:04.29,,,
,2012,"Alyssa Murray, Sumner 9",5:02.76,,,
,2011,"Marina Roberts, Kingston 11",5:05.53,,,
,2010,"Ruby Roberts, Kingston 12",4:53.27,,,
,2009,"Becca Friday, Bellingham 12",5:01.87,,,
,2008,"Ruby Roberts, Kingston 10",4:59.76,,,
,2007,"Stephanie Marcy, Sequim 12",4:54.14,,,
,2006,"Brittney Williams, Colville 11",5:13.65,,,
,2005,"Cory Druffel, Pullman 9",5:19.13,,,
,2004,"Andrea Brown, Mt Baker 12",5:12.56,,,
,2003,"Kira Harrison, Meridian 12",5:02.47,,,
,2002,"Kira Harrison, Meridian 11",5:13.28,,,
,2001,"Katie Prichard, Riverside",5:12.16,,,
,2000,"Katie Prichard, Riverside",5:22.62,,,
,1999,"Crystal Evans, Colville",5:17.20,,,
,1998,"Crystal Evans, Colville",5:09.0,,,
,Class 1A,,,,,
,2023,"Alexis Leone, Seton Catholic 11",4:59.30,,,
,2022,"Alexis Leone, Seton Catholic 10",5:06.00,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Naomi Smith, King's 11",5:00.04,,,
,2018,"Olivia Markezich, Bear Creek 11",5:02.41,,,
,2017,"Erin Mullins, Cascade (Leav) 12",4:54.74,,,
,2016,"Erin Mullins, Cascade (Leav) 11",5:07.31,,,
,2015,"Moriah Duenich, Deer Park 10",5:11.16,,,
,2014,"Kacey Kemper, King's 12",5:03.39,,,
,2013,"Sally Larson, Cedar Park Chr 12",5:03.62,,,
,2012,"Maddie Meyers, Northweset 12",5:00.65,,,
,2011,"Maddie Meyers, Northwest 11",4:46.85,,,
,2010,"Maddie Meyers, Northwest 10",4:50.02,,,
,2009,"Maddie Meyers, Northwest 9",5:08.64,,,
,2008,"Olivia Thomas, King's 11",5:14.53,,,
,2007,"Lizzie Jewson, Charles Wright 12",5:14.98,,,
,2006,"Jane Larson, Cedar Park Chr 12",5:01.61,,,
,2005,"Jane Larson, Cedar Park Chr 11",5:04.89,,,
,2004,"Jane Larson, Cedar Park Chr 10",5:14.02,,,
,2003,"Jane Larson, Cedar Park Chr 9",5:15.18,,,
,2002,"Lindsay Barlow, Rainier 10",5:19.42,,,
,2001,"Laura Halverson, Freeman",5:03.45,,,
,2000,"Brittany Hancock, Onalaska",5:16.65,,,
,1999,"Cassie Sloan, Burbank",5:14.19,,,
,1998,"Cassie Sloan, Burbank",5:10.90,,,
,1997,"Jaime Stone, Deer Park",5:16.18,,,
,1996,"Katie Kneeshaw, Colfax",5:15.32,,,
,1995,"Amy King, King’s",5:19.32,,,
,1994,"Rachel Rieke, Cascade",5:07.85,,,
,1993,"Rachel Rieke, Cascade",5:10.9,,,
,1992,"Rachel Rieke, Cascade",5:15.2,,,
,1991,"Joy Sprague, Woodland",5:13.3,,,
,1990,"Joy Sprague, Woodland",5:15.4,,,
,1989,"Stacey Brown, Omak",5:01.4,,,
,1988,"Carissa Seward, Goldendale",5:05.0,,,
,1987,"Carissa Seward, Goldendale",5:02.8,,,
,1986,"Felicity Saberhagen, Cashmere",5:10.0,,,
,1985,"Brandi Evans, Ephrata",5:13.0,,,
,1984,"Anne Howard, Port Townsend",5:03.5,,,
,1983,"Kris Vickers, Carroll",5:05.8,,,
,1982,"Lisa Braun, Cashmere",5:12.8,,,
,1981,"Sandy Gabelein, Langley",5:17.5,,,
,1980,"Sandy Gabelein, Langley",5:10.8,,,
,Mile,,,,,
,1979,"Michelle Elliot, Cashmere",5:22.9,,,
,1978,"Irene Griffith, Port Townsend",5:09.9,,,
,1977,"Kathy Kinniburgh, Mt. Baker",5:05.0,,,
,1976,"Becky Wick, Bellevue Christian",5:02.4,,,
,1975,"Joan Corbin, Carroll",5:17.1,,,
,1974,"Kim Seelye, Port Townsend",5:23.6,,,
,1973,"Lowna Leierer, Langley",5:44.1,,,
,Class 2B,,,,,
,2023,"Josie McLaughlin, St George's 10",5:19.34,,,
,2022,"Josie McLaughlin, St George's 9",5:13.25,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Ava Shackell, Northwest Chr (Lac) 12",5:02.59,,,
,2018,"Eliana Summers, NW Chr (Lac) 12",5:17.58,,,
,2017,"Madison Ward, St George's 12",5:16.16,,,
,2016,"Madison Ward, St George's 11",5:19.20,,,
,2015,"Madison Ward, St George's 10",5:04.45,,,
,2014,"Sierra Speiker, Oroville 12",5:11.25,,,
,2013,"Hailey Bredeson, NW Chr (Lac) 12",5:20.59,,,
,2012,"Morgan Willson, Colfax 12",5:14.1h,,,
,2011,"Kim Barry, Lake Roosevelt 11",5:14.98,,,
,2010,"Mikel Elliott, White Pass 12",5:13.24,,,
,2009,"Kate Reidy, St George's 12",5:18.13,,,
,2008,"Joscelyn Minton, NW Chr (Lac) 12",5:12.62,,,
,2007,"Joscelyn Minton, NW Chr (Lac) 11",5:15.84,,,
,2006,"Karissa Carlson, Pateros 10",5:18.52,,,
,2005,"Kirsten Fix, St Georges 12",5:10.78,,,
,2004,"Mary Labbee, Riverside Chr 11",5:26.17,,,
,2003,"Camille Gibb, Thorp-Kittitas 12",5:17.91,,,
,2002,"Sarah Bishop, Evergreen Luth 12",5:22.58,,,
,2001,"Mandee Carlson, Pateros",5:15.52,,,
,2000,"Whitney Niemcziek, Willapa Valley",5:27.12,,,
,1999,"Beth Abbey, Waitsburg",5:26.97,,,
,1998,"Beth Abbey, Waitsburg",5:30.3,,,
,1997,"Amber Higgins, LaConner",5:25.03,,,
,1996,"Amber Higgins, LaConner",5:24.25,,,
,1995,"Edie DeNiro, St. George’s",5:26.90,,,
,1994,"Lisa Schaures, Toutle Lake",5:22.75,,,
,1993,"Danielle Bradshaw, Liberty Bell",5:20.7,,,
,1992,"Angela Pearson, Trout Lake",5:21.8,,,
,1991,"Carrie McMurray, Naselle",5:23.3,,,
,1990,"Barb Richardson, Waterville-Mans",5:09.0,,,
,1989,"Shelley Smathers, Morton",5:11.6,,,
,1988,"Penny Walter, Freeman",5:12.8,,,
,1987,"Holly Nielsen, Trout Lake",5:18.8,,,
,1986,"Ann Dannhauer, University Prep",5:13.9,,,
,1985,"Kim Naught, Bickleton",5:23.7,,,
,1984,"Natasha Bamberger, Coupeville",5:13.7,,,
,Class 1B,,,,,
,2023,"Catelin King, Pope John Paul 12",5:32.95,,,
,2022,"Emmalyne Jimenez, DeSales 11",5:26.79,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Rosalie Fish, Muckleshoot Tribal 12",5:15.22,,,
,2018,"Hannah Funkhouser, Trout Lake 9",5:14.81,,,
,2017,"Emily Adams, Waitsburg 12",5:20.32,,,
,2016,"Gracie StrangeOwl, Cusick 10",5:47.67,,,
,2015,"Shania Graham, Republic 10",5:30.98,,,
,2014,"Kelsey Browning, Waterville 10",5:17.50,,,
,2013,"Emily Wooldridge, Entiat 12",5:15.80,,,
,2012,"Lucy Defilippis, Seton Catholic 10",5:31.88,,,
,2011,"Valerie Vogt, Trout Lake-Glenwood 10",5:26.50,,,
,2010,"Lynn Washio, North Sound Christian 12",5:36.62,,,
,2009,"Neola Putnam, Trout Lake-Glenwood 12",5:26.73,,,
,2008,"Karissa Carlson, Pateros 12",5:16.52,,,
,2007,"Neola Putnam, Trout Lake-Glenwood 10",5:24.7,,,
,Year,Name,Time,,,
,Class 4A,,,,,
,2024,"JaiCieonna Gero-Holt, Emerald Ridge 11",5-10,,,
,2023,"JaiCieonna Gero-Holt, Emerald Ridge 10",5-10,,,
,2022,"JaiCieonna Gero-Holt, Emerald Ridge 9",5-8,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Allison Kremer, Skyline 11",5-5,,,
,2018,"Emily DuFour, Eastmont 12",5-8,,,
,2017,"Madison Peffers, Camas 11",5-6,,,
,2016,"Amanda Chan, Mead 11",5-6,,,
,2015,"Kellianne Cavin, Snohomish 11",5-5,,,
,2014,"Mariah Cunningham, Central Valley 12",5-4,,,
,2013,"Elizabeth Quick, Richland 12",5-5,,,
,2012,"Audrey Ketcham, Wenatchee 12",5-7,,,
,2011,"Audrey Ketcham, Wenatchee 11",5-6,,,
,2010,"Audrey Ketcham, Wenatchee 10",5-8,,,
,2009,"Christine Rice, Mountain View 12",5-8,,,
,2008,"Kelly McNamee, Ferris 12",5-8,,,
,2007,"Kelly McNamee, Ferris 11",5-10,,,
,2006,"Jasmine Kelly, Skyview 12",5-6,,,
,2005,"Jasmine Kelly, Skyview 11",5-9,,,
,2004,"Briann January, Lewis & Clark 11",5-6,,,
,2003,"Tiana Roma, Edmonds-Woodway 11",5-6,,,
,2002,"Robin Mikesh, Auburn Riverside 12",5-6,,,
,2001,"Robin Mikesh, Auburn Riverside 11",5-6,,,
,2000,"Robin Mikesh, Auburn Riverside 10",5-5,,,
,1999,"Alisha Moultrie, Mountain View",5-4,,,
,1998,"Sarah Farr, Bellarmine",5-4,,,
,1997,"Abby Harris, Auburn",5-4,,,
,1996,"Francine Richardson, Mtlk Terrace",5-8,,,
,1995,"Francine Richardson, Mtlk Terrace",5-9,,,
,1994,"Seville Broussard, Walla Walla",5-10,,,
,1993,"Seville Broussard, Walla Walla",5-9,,,
,1992,"Dawn Putnam, Fort Vancouver",5-8,,,
,1991,"Sarah Arrowsmith, Issaquah",5-8½,,,
,1990,"Megan Myers, Lake Washington",5-5,,,
,1989,"Wendy Wilson, North Central",5-7,,,
,1988,"Kelly Keist, Mountain View",5-6,,,
,1987,"Stacey Asplund, Columbia River",5-9,,,
,1986,"Leena Pakarinen, Puyallup",5-6,,,
,1985,"Sonja Swan, Lincoln",5-9,,,
,1984,"Vicki Borsheim, Cascade",5-8,,,
,1983,"Mary Moore, Issaquah",6-1,,,
,1982,"Mary Moore, Issaquah",5-10,,,
,1981,"Mary Moore, Issaquah",6-0,,,
,1980,"Debra Larsen, Aberdeen",5-8,,,
,1979,"Sue Burrus, Sammamish",5-7,,,
,1978,"Julie Crosgrove, Sammamish",5-9½,,,
,1977,"Julie Crosgrove, Sammamish",5-8½,,,
,1976,"Maureen Dunn, Sammamish",5-7,,,
,1975,"Maggie Garrison, Ingraham",5-5,,,
,1974,"Mitzi McMillin, West Seattle",5-4,,,
,1973,"Nancy Fondren, Shoreline",5-5¼,,,
,1972,"Marsha Kinney, Ephrata",5-2,,,
,1971,"Susan Brown, Walla Walla",5-2,,,
,1970,"Donna Armstrong, Nathan Hale",5-2,,,
,1969,"Joi Perala, West Valley-Yak",5-4¾,,,
,Class 3A,,,,,
,2024,"Maya Velasquez, Marysville-Pilchuck 11",5-4,,,
,2023,"Atreonia Garner, Spanaway Lake 12",5-3,,,
,2022,"Jayden Smith, Southridge 12",5-5,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Katie Rhodes, Mt Spokane 12",5-6,,,
,2018,"Katie Rhodes, Mt Spokane 11",5-4,,,
,2017,"Iman Brown, Garfield 12",5-8¾,,,
,2016,"Madison Yerigan, Stanwood 12",5-6,,,
,2015,"Madison Yerigan, Stanwood 11",5-8,,,
,2014,"Andrea Stapleton, Kamiakin 11",5-8,,,
,2013,"Kiana Davis, Kelso 12",5-6,,,
,2012,"Molly Grager, Juanita 12",5-4,,,
,2011,"Olivia Vincent, Holy Names 9",5-7,,,
,2010,"Sasha Weber, Timberline 10",5-8,,,
,2009,"Emily Corona, Shorecrest 10",5-7,,,
,2008,"Taymussa Miller, Hanford 11",5-5,,,
,2007,"Elise Jepsen, Kamiakin 10",5-2,,,
,2006,"Meghan Dahl, Ferndale 12",5-3,,,
,2005,"Meghan Dahl, Ferndale 11",5-5,,,
,2004,"Kara Bennett, Liberty 10",5-6,,,
,2003,"Kayla Mainer, W Valley (Spo) 11",5-5,,,
,2002,"Stacey Cowan, Ferndale 12",5-10,,,
,2001,"Stacey Cowan, Ferndale 11",5-9,,,
,2000,"Angie Jones, Holy Names",5-6,,,
,1999,"Angie Jones, Holy Names",5-8,,,
,1998,"Pauline Hsieh, Newport",5-7,,,
,1997,"Tiffany Hagood, South Whidbey",5-2,,,
,1996,"Tami Standish, Ellensburg",5-5,,,
,1995,"Jamie Sargent, Franklin Pierce",5-4,,,
,1994,"Larissa Norris, Mt. Vernon",5-4,,,
,1993,"Larissa Norris, Mt. Vernon",5-5,,,
,1992,"Kerri McKay, Sehome",5-7,,,
,1991,"Veronica Persons, Monroe",5-6,,,
,1990,"Reagan Lyons, Woodway",5-4,,,
,1989,"Kyann Johnson, Sedro-Woolley",5-4,,,
,1988,"Michelle Hayes, Mark Morris",5-7,,,
,1987,"Kelly Blair, Prosser",5-6,,,
,1986,"Lisa Waltenburg, Chehalis",5-6,,,
,1985,"Michelle Den Hoed, Grandview",5-8,,,
,1984,"Julie Thometz, Eastside Catholic",5-7,,,
,1983,"Michelle Carter, West Valley-Yak",5-7,,,
,1982,"Debra Larsen, Aberdeen",5-8,,,
,1981,"Julie Kurrus, Franklin Pierce",5-7,,,
,1980,"Jennifer Schwartz, Bellingham",5-4,,,
,1979,"Sally McCarthy, Medical Lake",5-8,,,
,1978,"Sally McCarthy, Medical Lake",5-9,,,
,1977,"Sally Layman, Medical Lake",5-5,,,
,1976,"Terrie Goethals, Decatur",5-6,,,
,1975,"Cindy Musgrove, R.A. Long",5-2,,,
,Class 2A,,,,,
,2024,"Clare Turella, Sequim 9",5-2,,,
,2023,"Abi Caprye, Shadle Park 12",5-3,,,
,2022,"Halle Wright, Prosser 12",5-3,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Nicole Guthrie, Woodland 11",5-4,,,
,2018,"Yareli Ochoa, Lakewood 12",5-4,,,
,2017,"Sarah Retter, Woodland 11",5-4,,,
,2016,"Sara Absten, Burlington-Edison 10",5-4,,,
,2015,"Wurrie Njadoe, Shorecrest 11",5-5,,,
,2014,"Marla Melling, Anacortes 12",5-3,,,
,2013,"Tala Hild, Renton 12",5-4,,,
,2012,"Lauren McCluskey, Pullman 9",5-4,,,
,2011,"Jori Hall, Sehome 11",5-4,,,
,2010,"Kyra Davidson, Hockinson 10",5-2,,,
,2009,"Tasha Luu, Colville 9",5-4,,,
,2008,"Melissa Mauro, West Valley (Spo) 12",5-7¼,,,
,2007,"Melissa Mauro, West Valley (Spo) 11",5-5,,,
,2006,"Mackenzie Johnson, Deer Park 12",5-2,,,
,2005,"Angie Alvord, Meridian 12",5-6,,,
,2004,"McKinnon Hanson, Forks 12",5-7,,,
,2003,"Katy McGillen, South Whidbey 11",5-4,,,
,2002,"Traci Mickle, Ephrata 11",5-4,,,
,2001,"Abby Moe, Chewelah",5-4,,,
,2000,"Jacqueline Manuel, Omak",5-3,,,
,1999,"Cheyanna Brokofsky, Sultan",5-4,,,
,1998,"Karey Frafjord, Montesano",5-4,,,
,Class 1A,,,,,
,2023,"Stephanie Chadduck, Freeman 12",5-3,,,
,2022,"Stephanie Chadduck, Freeman 11",5-3,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Ellie Saunders, Seton Catholic 11",5-5,,,
,2018,"Sarah Wilensky, La Salle 11",5-4,,,
,2017,"Sienna Swannack, Lakeside (9MiF) 11",5-8,,,
,2016,"Sienna Swannack, Lakeside (9MiF) 10",5-7,,,
,2015,"Shaddia Meadows, Naches Valley 11",5-4,,,
,2014,"Taylor V'Dovec, Blaine 11",5-6,,,
,2013,"Jessica Chrisp, Riverside 12",5-6,,,
,2012,"Maddie Timm, Okanogan 12",5-5,,,
,2011,"Katrina Chamberlain, La Conner 12",5-5,,,
,2010,"Taylor Yoro, Orting 12",5-3,,,
,2009,"Katrina Chamberlain, La Center 10",5-6,,,
,2008,"Kelli Tikker, Lakeside (9MiF) 12",5-2,,,
,2007,"Brittnie Baker, Toledo 12",5-4,,,
,2006,"Brittnie Baker, Toledo 11",5-3,,,
,2005,"Ashley Roady, White Pass 12",5-2,,,
,2004,"Jessica Heidenreich, Lind-Ritz 12",5-3,,,
,2003,"Julie Parsons, Onalaska 12",5-2,,,
,2002,"Julie Parsons, Onalaska 11",5-2,,,
,2001,"Dianna Grossglass, LaConner",5-4,,,
,2000,"Dianna Grossglass, LaConner",5-3,,,
,1999,"Debbie Vanden Hoek, Lynden Chr.",5-0,,,
,1998,"Laura Widman, Colfax",5-4,,,
,1997,"Megan Franza, Cascade",5-8,,,
,1996,"Megan Franza, Cascade",5-9,,,
,1995,"Megan Franza, Cascade",5-9,,,
,1994,"Joanna Wilson, Woodland",5-5,,,
,1993,"Leslie Price, Connell",5-4,,,
,1992,"Leslie Price, Connell",5-5,,,
,1991,"Mirranda Saari, Woodland",5-3,,,
,1990,"Cindy Smith, Kettle Falls",5-5,,,
,1989,"Kelly Blair, Prosser",5-7,,,
,1988,"Kelly Blair, Prosser",5-7,,,
,1987,"Kristen Hovde, Castle Rock",5-4,,,
,1986,"Debbie Fisk, Vashon",5-4,,,
,1985,"Bonnie Mitchell, Charles Wright",5-2,,,
,1984,"Renee Duffie, Foster",5-2,,,
,1983,"Melissa MacNeil, Tolt",5-6,,,
,1982,"Mary Lamb, Omak",5-8,,,
,1981,"Sandy Heinrich, Riverside",5-8,,,
,1980,"Diane Baumann, Onalaska",5-8,,,
,1979,"Carina Westover, Kiona-Benton",5-10¾,,,
,1978,"Carina Westover, Kiona-Benton",5-7,,,
,1977,"Patsy Walker, Yelm",5-8¼,,,
,1976,"Charlene States, Goldendale",5-3,,,
,1975,"Terri Goethals, Decatur",5-7,,,
,1974,"Marsha Kinney, Ephrata",5-3,,,
,1973,"Jan Roylance, Othello",5-2,,,
,Class 2B,,,,,
,2023,"Acacia Murphy, Rainier 10",5-2,,,
,2022,"Kyra Gardner, Raymond 12",5-6,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Kyra Gardner, Raymond 9",5-6,,,
,2018,"Alyssa Oates, Wilbur-Creston 12",5-2,,,
,2017,"Alyssa Oates, Wilbur-Creston 11",5-2,,,
,2016,"Scout Cai, Colfax 12",5-2,,,
,2015,"Scout Cai, Colfax 11",5-4,,,
,2014,"Makenzie Russell, South Bend 12",5-3,,,
,2013,"Allison Sowers, NW Christian (Lacey) 12",5-6,,,
,2012,"Maddie Magee, Bear Creek 12",5-9,,,
,2011,"Maddie Magee, Bear Creek 11",5-8,,,
,2010,"Maddie Magee, Bear Creek 10",5-5,,,
,2009,"Sarah Doumit, Wahkiakum 12",5-3,,,
,2008,"Sabrina Schwindler, Laconner 12",5-2,,,
,2007,"Kristle Moss, Riverside Christian 12",5-4,,,
,2006,"Kristle Moss, Riverside Christian 11",5-3,,,
,2005,"Whitney Self, Morton 10",5-2,,,
,2004,"Kristle Moss, Riverside Christian 9",5-0,,,
,2003,"Jordan Graeme, Klickitat 12",5-0,,,
,2002,"Karalee Clark, Riverside Christian 10",5-4,,,
,2001,"Karalee Clark, Riverside Christian 9",5-2,,,
,2000,"Danielle Wilcox, Northwest Christian (8th)",5-0,,,
,1999,"Melody Strauss, Mt. Vernon Christian",5-1,,,
,1998,"Christa Graffis, Tekoa-Oakesdale",5-4,,,
,1997,"Danni O’Bannon, Moses Lake Christian",5-2,,,
,1996,"Amy Fitch, Ritzville",5-4,,,
,1995,"Jennifer Stinson, Davenport",5-5,,,
,1994,"Jennifer Stinson, Davenport",5-7,,,
,1993,"Jennifer Stinson, Davenport",5-4,,,
,1992,"Mandy Beck, St. John-Endicott",5-3,,,
,1991,"Shelly Collins, Freeman",5-1,,,
,1990,"Ronalda Dunn, Raymond",5-9,,,
,1989,"Darci Wellsandt, Ritzville",5-5,,,
,1988,"Desiree Leipahan, Reardan",5-5,,,
,1987,"Darci Wellsandt, Ritzville",5-4,,,
,1986,"Jennifer Allison, Manson",5-4,,,
,1985,"Michelle Thomas, Wahkiakum",5-0,,,
,1984,"Karri Lupfer, Dayton",5-2,,,
,Class 1B,,,,,
,2023,"Lily Starkel, Odessa 10",5-2,,,
,2022,"Sayla Pepple, Cascade Chr (Wen) 10",5-0,,,
,2021,No meet,,,,
,2020,No meet,,,,
,2019,"Kaylee Sowle, Mart M Knight 12",5-8,,,
,2018,"Kaylee Sowle, Mary M Knight 11",5-8,,,
,2017,"Kaylee Sowle, Mary M Knight 10",5-6,,,
,2016,"Kaylee Sowle, Mary M Knight 9",5-2,,,
,2015,"Hannah Fields, Valley Chr 11",5-1,,,
,2014,"Lindsay Brown, Bickleton 11",5-0,,,
,2013,"Elaina Thomsen, Waterville 9",5-0,,,
,2012,"Lindsay Loe ,Columbia (Hunters) 12",5-0,,,
