"State","Year","Gender","Event","Class","Mark"
"Michigan","1989","Boys","100m","CLASS B",":10.5"
"Michigan","1988","Boys","Pole Vault","CLASS B","14-9"
"Michigan","1988","Boys","High Jump","CLASS B","6-9"
"Michigan","1988","Boys","1600m","CLASS B","4:18.64"
"Michigan","1988","Boys","800m","CLASS B","1:55.79"
"Michigan","1988","Boys","100m","CLASS B",":10.81"
"Michigan","1987","Boys","Pole Vault","CLASS B","14-5"
"Michigan","1987","Boys","High Jump","CLASS B","6-9"
"Michigan","1987","Boys","1600m","CLASS B","4:18.76"
"Michigan","1987","Boys","800m","CLASS B","1:56.21"
"Michigan","1987","Boys","100m","CLASS B",":10.61"
"Michigan","1986","Boys","Pole Vault","CLASS B","15-7"
"Michigan","1986","Boys","High Jump","CLASS B","6-8"
"Michigan","1986","Boys","1600m","CLASS B","4:18.0"
"Michigan","1986","Boys","800m","CLASS B","1:56.5"
"Michigan","1986","Boys","100m","CLASS B",":10.9"
"Michigan","1985","Boys","Pole Vault","CLASS B","13-10"
"Michigan","1985","Boys","High Jump","CLASS B","6-8"
"Michigan","1985","Boys","1600m","CLASS B","4:19.46"
"Michigan","1985","Boys","800m","CLASS B","1:54.86"
"Michigan","1985","Boys","100m","CLASS B",":11.02"
"Michigan","1984","Boys","Pole Vault","CLASS B","14-5"
"Michigan","1984","Boys","High Jump","CLASS B","6-9"
"Michigan","1984","Boys","1600m","CLASS B","4:15.8"
"Michigan","1984","Boys","800m","CLASS B","1:54.9"
"Michigan","1984","Boys","100m","CLASS B",":10.6"
"Michigan","1983","Boys","Pole Vault","CLASS B","14-4"
"Michigan","1983","Boys","High Jump","CLASS B","6-9"
"Michigan","1983","Boys","1600m","CLASS B","4:15.1"
"Michigan","1983","Boys","800m","CLASS B","1:54.4"
"Michigan","1983","Boys","100m","CLASS B",":10.6"
"Michigan","1982","Boys","Pole Vault","CLASS B","13-8"
"Michigan","1982","Boys","Mile","CLASS B","4:20.8"
"Michigan","1982","Boys","High Jump","CLASS B","6-8"
"Michigan","1982","Boys","880y","CLASS B","1:54.3"
"Michigan","1982","Boys","100y","CLASS B",":09.9"
"Michigan","1981","Boys","Pole Vault","CLASS B","14-3 1/2"
"Michigan","1981","Boys","High Jump","CLASS B","6-5"
"Michigan","1981","Boys","1600m","CLASS B","4:13.5"
"Michigan","1981","Boys","800m","CLASS B","1:54.9"
"Michigan","1981","Boys","100m","CLASS B",":11.2"
"Michigan","1980","Boys","Pole Vault","CLASS B","14-2 1/2"
"Michigan","1980","Boys","High Jump","CLASS B","6-7"
"Michigan","1980","Boys","1600m","CLASS B","4:17.0"
"Michigan","1980","Boys","800m","CLASS B","1:54.8"
"Michigan","1980","Boys","100m","CLASS B",":10.5"
"Michigan","1989","Boys","Pole Vault","CLASS C","13-7"
"Michigan","1989","Boys","High Jump","CLASS C","6-4"
"Michigan","1989","Boys","1600m","CLASS C","4:22.15"
"Michigan","1989","Boys","800m","CLASS C","1:57.41"
"Michigan","1989","Boys","100m","CLASS C",":10.92"
"Michigan","1988","Boys","Pole Vault","CLASS C","14-7"
"Michigan","1988","Boys","High Jump","CLASS C","6-5"
"Michigan","1988","Boys","1600m","CLASS C","4:21.90"
"Michigan","1988","Boys","800m","CLASS C","1:56.00"
"Michigan","1988","Boys","100m","CLASS C",":11.00"
"Michigan","1987","Boys","Pole Vault","CLASS C","14-5"
"Michigan","1987","Boys","High Jump","CLASS C","6-7"
"Michigan","1987","Boys","1600m","CLASS C","4:19.04"
"Michigan","1987","Boys","800m","CLASS C","1:55.91"
"Michigan","1987","Boys","100m","CLASS C",":10.81"
"Michigan","1986","Boys","Pole Vault","CLASS C","14-2"
"Michigan","1986","Boys","High Jump","CLASS C","6-8"
"Michigan","1986","Boys","1600m","CLASS C","4:18.16"
"Michigan","1986","Boys","800m","CLASS C","1:54.60"
"Michigan","1986","Boys","100m","CLASS C",":10.81"
"Michigan","1985","Boys","Pole Vault","CLASS C","14-0"
"Michigan","1985","Boys","High Jump","CLASS C","6-8"
"Michigan","1985","Boys","1600m","CLASS C","4:21.99"
"Michigan","1985","Boys","800m","CLASS C","1:56.30"
"Michigan","1985","Boys","100m","CLASS C",":11.06"
"Michigan","1984","Boys","Pole Vault","CLASS C","13-5"
"Michigan","1984","Boys","High Jump","CLASS C","6-8"
"Michigan","1984","Boys","1600m","CLASS C","4:20.4"
"Michigan","1984","Boys","800m","CLASS C","1:57.9"
"Michigan","1984","Boys","100m","CLASS C",":11.1"
"Michigan","1983","Boys","Pole Vault","CLASS C","14-0"
"Michigan","1983","Boys","High Jump","CLASS C","6-6"
"Michigan","1983","Boys","1600m","CLASS C","4:17.4"
"Michigan","1983","Boys","800m","CLASS C","1:56.2"
"Michigan","1983","Boys","100m","CLASS C",":10.7"
"Michigan","1982","Boys","Pole Vault","CLASS C","13-6"
"Michigan","1982","Boys","High Jump","CLASS C","6-8"
"Michigan","1982","Boys","1600m","CLASS C","4:13.5"
"Michigan","1982","Boys","800m","CLASS C","1:53.7"
"Michigan","1982","Boys","100m","CLASS C",":11.0"
"Michigan","1981","Boys","Pole Vault","CLASS C","13-9 3/4"
"Michigan","1981","Boys","High Jump","CLASS C","6-9"
"Michigan","1981","Boys","1600m","CLASS C","4:21.1"
"Michigan","1981","Boys","800m","CLASS C","1:55.7"
"Michigan","1981","Boys","100m","CLASS C",":10.6"
"Michigan","1980","Boys","Pole Vault","CLASS C","13-5"
"Michigan","1980","Boys","Mile","CLASS C","4:20.8"
"Michigan","1980","Boys","High Jump","CLASS C","6-6"
"Michigan","1980","Boys","880y","CLASS C","1:54.9"
"Michigan","1980","Boys","100y","CLASS C",":09.9"
