2007,
"",1A,"Kristan Holding, Damascus Christian 17-10.75"
Triple Jump,6A,"Taisha Moore, Aloha ............................... 38-6"
"",5A,"Iris Anderson, North Eugene .............. 37-1.75"
"",4A,"Laura Schaudt, Philomath ....................... 36-6"
"",3A,"Eloise Miller, Catlin Gabel .................... 36-6.5"
"",2A,"Alanna McCarthy, Blanchet Catholic ....... 34-0"
"",1A,"Kristan Holding, Damascus Christian . 34-8.25"
Shot Put,6A,"Elizabeth Brenner, Jesuit .................... 43-2.25"
"",5A,"Mary Barnett, Hermison ........................... 41-3"
"",4A,"Alexis Reavis, Siuslaw ............................. 43-5"
"",3A,"Victoria Rodriguez, Nyssa ................ 41-10.75"
"",2A,"Alexis Arnold, Portland Christian ........ 38-2.75"
"",1A,"Jesse Culley, Pacific ................................ 25-6"
Discus,6A,"Courtney Tripp, Sandy ........................... 143-5"
"",5A,"Mary Barnett, Hermiston ...................... 133-10"
"",4A,"Ariel Olivery, Yamhill-Carlton/Gaston .... 139-3"
"",3A,"Abby Aguiar, Dayton .............................. 137-5"
"",2A,"Chelsea Whirledge, Kennedy ................ 104-8"
"",1A,"Katie Mullen, Damascus Christian ......... 117-8"
Javelin,6A,"Haley Crouser, Gresham ....................... 161-6"
"",5A,"Kaylie VanLoo, Glencoe ........................ 140-7"
"",4A,"Jordan Brunetti, Cottage Grove ............. 150-5"
"",3A,"Kaylee Taylor, Clatskanie ...................... 122-5"
"",2A,"Sami DeVore, Scio ................................ 124-4"
"",1A,"Laura Grube, Crow ................................ 125-9"
High Jump,6A,"Kathleen Pelchar, Sandy ........................... 5-6"
"",5A,"Frances Pavao, Sherwood ........................ 5-5"
"",4A,"Chancey Summers, Estacada ................... 5-7"
"",3A,"Sara Almen, Santiam Christian .................. 5-4"
"",2A,"Alexi Provost-Shean, St. Mary’s ................ 5-2"
"",1A,"Kristan Holding, Damascus Christian ........ 5-2"
Pole Vault,6A,"Taylor McCahon, Forest Grove ............... 12-0"
"",5A,"Kathryn Mariman, Sherwood ................... 11-9"
"",4A,"Sammie Clark, North Bend ...................... 12-5"
"",3A,"Lindsey Wright, Reedsport ........................ 9-9"
"",2A,"Linnea Fong, St. Mary’s ........................... 10-0"
"",1A,"September O’Crowley, Crane .................... 9-0"
"",,
2011,,
100m Dash,6A,"Sabrina Moore, Southridge .................... 11.96"
"",5A,"Allie Church, Wilsonville ........................ 12.26"
"",4A,"Maria Kropf, Sweet Home ..................... 12.19"
"",3A,"Taylor Deskins, Santiam Christian ......... 12.51"
"",2A,"Haley Guest, Scio .................................. 12.91"
"",1A,"Lindsay LeBrun, Portland Lutheran ....... 12.88"
200m Dash,6A,"Dominique Keel, Westview .................... 24.58"
"",5A,"Allie Church, Wilsonville ........................ 24.91"
"",4A,"Genna Settle, Estacada ......................... 25.98"
"",3A,"Madeline Dinsmore, Burns .................... 26.23"
"",2A,"Shannon nPieren, Nestucca .................. 26.47"
"",1A,"Lindsay LeBrun, Portland Lutheran ....... 26.81"
400m Dash,6A,"Ashante Horsley, McMinnville ................ 56.16"
"",5A,"Malika Waschmann, Corvallis................ 56.97"
"",4A,"Kristine Dunn, Cottage Grove ................ 58.37"
"",3A,"Abby Steinsiek, St. Mary’s ..................... 58.74"
"",2A,"Larissa Stillinger, Lost River ................ 1:0068"
"",1A,"Kristen Wood, Damascus Christian"
800m Run,6A,"Louise Mulvey, Sheldon ..................... 2:13.75"
"",5A,"Aiyanna Cameron-Lewis,"
"",,Crescent Valley .................................  2:14.37
"",4A,"Zoe Falk, Sisters ................................ 2:21.02"
"",3A,"Sarah Bennion, St. Mary’s .................. 2:20.94"
