"State","Year","Gender","Event","Class","Mark","Mark.Note"
"Oregon",2018,"Boys","800m","4A","1:57.81",""
"Oregon",2018,"Boys","1500m","4A","4:03.68",""
"Oregon",2018,"Boys","High Jump","4A","6-03.00","1.9"
"Oregon",2018,"Boys","Pole Vault","4A","14-06.00","4.4"
"Oregon",2018,"Boys","100m","5A","10.96","0.2"
"Oregon",2018,"Boys","800m","5A","1:54.45",""
"Oregon",2018,"Boys","1500m","5A","3:55.61",""
"Oregon",2018,"Boys","High Jump","5A","6-05.00","1.9"
"Oregon",2018,"Boys","Pole Vault","5A","14-09.00","4.4"
"Oregon",2018,"Boys","100m","6A","10.42","1.2"
"Oregon",2018,"Boys","800m","6A","1:53.45",""
"Oregon",2018,"Boys","1500m","6A","3:55.96",""
"Oregon",2018,"Boys","High Jump","6A","6-05.00","1.9"
"Oregon",2018,"Boys","Pole Vault","6A","14-06.00","4.4"
"Oregon",2017,"Girls","100m","1A","12.70","1.7"
"Oregon",2017,"Girls","800m","1A","2:26.32",""
"Oregon",2017,"Girls","1500m","1A","4:59.23",""
"Oregon",2017,"Girls","High Jump","1A","5-05.00","1.6"
"Oregon",2017,"Girls","Pole Vault","1A","8-09.00","2.6"
"Oregon",2017,"Girls","100m","2A","12.42","1.1"
"Oregon",2017,"Girls","800m","2A","2:19.17",""
"Oregon",2017,"Girls","1500m","2A","4:47.59",""
"Oregon",2017,"Girls","High Jump","2A","5-02.00","1.5"
"Oregon",2017,"Girls","Pole Vault","2A","9-06.00","2.8"
"Oregon",2017,"Girls","100m","3A","12.25","1.4"
"Oregon",2017,"Girls","800m","3A","2:19.20",""
"Oregon",2017,"Girls","1500m","3A","4:47.32",""
"Oregon",2017,"Girls","High Jump","3A","5-04.00","1.6"
"Oregon",2017,"Girls","Pole Vault","3A","10-06.00","3.2"
"Oregon",2017,"Girls","100m","4A","12.14","1.7"
"Oregon",2017,"Girls","800m","4A","2:20.96",""
"Oregon",2017,"Girls","1500m","4A","4:48.57",""
"Oregon",2017,"Girls","High Jump","4A","5-04.00","1.6"
"Oregon",2017,"Girls","Pole Vault","4A","11-09.00","3.5"
"Oregon",2017,"Girls","100m","5A","12.06","1.4"
"Oregon",2017,"Girls","800m","5A","2:17.75",""
"Oregon",2017,"Girls","1500m","5A","4:30.71",""
"Oregon",2017,"Girls","High Jump","5A","5-05.00","1.6"
"Oregon",2017,"Girls","Pole Vault","5A","12-06.00","3.8"
"Oregon",2017,"Girls","100m","6A","11.97","1.5"
"Oregon",2017,"Girls","800m","6A","2:10.99",""
"Oregon",2017,"Girls","1500m","6A","4:33.47",""
"Oregon",2017,"Girls","High Jump","6A","5-06.00","1.6"
"Oregon",2017,"Girls","Pole Vault","6A","11-09.00","3.5"
"Oregon",2017,"Boys","100m","1A","11.36","1.2"
"Oregon",2017,"Boys","800m","1A","2:01.22",""
"Oregon",2017,"Boys","1500m","1A","4:09.76",""
"Oregon",2017,"Boys","High Jump","1A","6-04.00","1.9"
"Oregon",2017,"Boys","Pole Vault","1A","12-09.00","3.8"
"Oregon",2017,"Boys","100m","2A","10.98","2.2"
"Oregon",2017,"Boys","800m","2A","2:00.63",""
"Oregon",2017,"Boys","1500m","2A","4:03.85",""
"Oregon",2017,"Boys","High Jump","2A","6-03.00","1.9"
"Oregon",2017,"Boys","Pole Vault","2A","14-06.00","4.4"
"Oregon",2017,"Boys","100m","3A","11.20","1.6"
"Oregon",2017,"Boys","800m","3A","2:01.04",""
"Oregon",2017,"Boys","1500m","3A","4:12.18",""
"Oregon",2017,"Boys","High Jump","3A","6-02.00","1.8"
"Oregon",2017,"Boys","Pole Vault","3A","14-03.25","4.3"
"Oregon",2017,"Boys","100m","4A","10.75","1.7"
"Oregon",2017,"Boys","800m","4A","1:55.86",""
"Oregon",2017,"Boys","1500m","4A","4:06.87",""
