"State","Year","Gender","Schools","Participation","Event","Mark","Mark.Note","Students","df","Count","Participation.Thousands"
"Oklahoma",1978,"Boys",328,7216,"Pole Vault",3.6576,NA,NA,11,141041,7.216
"Oklahoma",1978,"Boys",328,7216,"Pole Vault",3.9624,NA,NA,11,141041,7.216
"Oregon",1978,"Boys",230,11500,"100m",10.5,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"800m",113.16,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"1600m",250.06473,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"High Jump",1.9812,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"Pole Vault",4.6736,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"100m",10.9,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"800m",114.2,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"1600m",255.21849,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"High Jump",1.9558,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"Pole Vault",4.4196,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"800m",120.5,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"1600m",258.97644,NA,NA,12,130206,11.5
"Oregon",1978,"Boys",230,11500,"Pole Vault",4.0386,NA,NA,12,130206,11.5
"Rhode Island",1978,"Boys",40,1374,"High Jump",1.9558,NA,NA,13,38755,1.374
"Rhode Island",1978,"Boys",40,1374,"Pole Vault",4.42595,NA,NA,13,38755,1.374
"Rhode Island",1978,"Boys",40,1374,"100m",11.0494,NA,NA,13,38755,1.374
"Rhode Island",1978,"Boys",40,1374,"800m",115.52604,NA,NA,13,38755,1.374
"Rhode Island",1978,"Boys",40,1374,"1600m",259.58562,NA,NA,13,38755,1.374
"Tennessee",1978,"Boys",366,12003,"100m",10.7212,NA,NA,14,230020,12.003
"Tennessee",1978,"Boys",366,12003,"800m",114.63126,NA,NA,14,230020,12.003
"Tennessee",1978,"Boys",366,12003,"1600m",255.31056,NA,NA,14,230020,12.003
"Tennessee",1978,"Boys",366,12003,"High Jump",1.9812,NA,NA,14,230020,12.003
"Tennessee",1978,"Boys",366,12003,"Pole Vault",3.9624,NA,NA,14,230020,12.003
"Washington",1978,"Boys",303,10416,"Pole Vault",4.4196,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"Pole Vault",4.3434,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"High Jump",2.0066,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"High Jump",2.032,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"High Jump",2.19075,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"1600m",253.62042,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"1600m",256.5036,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"1600m",263.26416,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"800m",112.74228,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"800m",113.8359,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"800m",117.71328,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"100m",10.7212,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"100m",10.94,NA,NA,15,242737,10.416
"Washington",1978,"Boys",303,10416,"100m",10.8306,NA,NA,15,242737,10.416
"Wisconsin",1978,"Boys",449,23411,"100m",11.1588,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"100m",11.1588,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"100m",11.1588,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"800m",115.62546,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"800m",118.3098,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"800m",121.09356,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"1600m",253.32216,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"1600m",263.86068,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"1600m",262.26996,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"High Jump",2.0574,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"High Jump",2.032,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"High Jump",1.8796,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"Pole Vault",4.2672,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"Pole Vault",4.191,NA,NA,16,197252,23.411
"Wisconsin",1978,"Boys",449,23411,"Pole Vault",3.9624,NA,NA,16,197252,23.411
"Wyoming",1978,"Boys",72,1400,"100m",11.33384,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"800m",119.612202,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"1600m",268.801854,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"High Jump",1.9304,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"Pole Vault",3.9624,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"100m",11.1588,NA,NA,17,19963,1.4
"Wyoming",1978,"Boys",72,1400,"800m",125.2692,NA,NA,17,19963,1.4
