State,Year,Gender,Schools,Participation
Nevada,1981,Boys,55,2480
New Hampshire,1981,Boys,63,2400
New Jersey,1981,Boys,347,16490
New Mexico,1981,Boys,114,3420
New York,1981,Boys,682,22695
North Carolina,1981,Boys,289,10650
North Dakota,1981,Boys,201,2885
Ohio,1981,Boys,757,25995
Oklahoma,1981,Boys,335,6700
Oregon,1981,Boys,231,11550
Pennsylvania,1981,Boys,514,20560
Rhode Island,1981,Boys,42,1882
South Carolina,1981,Boys,186,6242
South Dakota,1981,Boys,205,4778
Tennessee,1981,Boys,198,6138
Texas,1981,Boys,1122,45141
Utah,1981,Boys,93,2997
Vermont,1981,Boys,28,1000
Virginia,1981,Boys,270,9450
Washington,1981,Boys,311,9660
West Virginia,1981,Boys,115,3345
Wisconsin,1981,Boys,379,12770
Wyoming,1981,Boys,73,2040
Alabama,1981,Girls,200,1500
Alaska,1981,Girls,44,814
Arkansas,1981,Girls,277,3324
Arizona,1981,Girls,145,3527
California,1981,Girls,882,31061
Colorado,1981,Girls,242,9680
Connecticut,1981,Girls,113,5317
Delaware,1981,Girls,23,676
Dist. Of Columbia,1981,Girls,15,450
Florida,1981,Girls,315,6488
Georgia,1981,Girls,303,6161
Hawaii,1981,Girls,44,1150
Idaho,1981,Girls,117,2111
Illinois,1981,Girls,659,23724
Indiana,1981,Girls,381,11300
Iowa,1981,Girls,NA,NA
Kansas,1981,Girls,372,18600
Kentucky,1981,Girls,240,4800
Louisiana,1981,Girls,322,6440
Maine,1981,Girls,117,1480
Maryland,1981,Girls,122,2721
Massachusetts,1981,Girls,195,7117
Michigan,1981,Girls,630,18090
Minnesota,1981,Girls,450,10314
Mississippi,1981,Girls,NA,NA
Missouri,1981,Girls,400,11734
Montana,1981,Girls,180,2740
Nebraska,1981,Girls,364,6391
Nevada,1981,Girls,55,1620
New Hampshire,1981,Girls,63,2200
New Jersey,1981,Girls,291,11508
New Mexico,1981,Girls,113,3390
New York,1981,Girls,554,15620
North Carolina,1981,Girls,230,5887
North Dakota,1981,Girls,204,2425
Ohio,1981,Girls,733,19849
Oklahoma,1981,Girls,320,5760
Oregon,1981,Girls,232,5800
Pennsylvania,1981,Girls,462,13860
Rhode Island,1981,Girls,28,898
South Carolina,1981,Girls,170,3581
South Dakota,1981,Girls,205,4233
Tennessee,1981,Girls,195,6045
Texas,1981,Girls,1116,44870
Utah,1981,Girls,89,1758
Vermont,1981,Girls,28,791
Virginia,1981,Girls,251,6963
Washington,1981,Girls,309,7247
West Virginia,1981,Girls,107,2384
Wisconsin,1981,Girls,380,10945
Wyoming,1981,Girls,70,1650
Particip.,1981,Girls,NA,NA
Alabama,1982,Boys,265,3975
Alaska,1982,Boys,24,631
Arizona,1982,Boys,141,5012
Arkansas,1982,Boys,240,2880
California,1982,Boys,814,47094
Colorado,1982,Boys,NA,NA
Connecticut,1982,Boys,162,6241
Delaware,1982,Boys,26,896
District Of Columbia,1982,Boys,12,650
Florida,1982,Boys,341,9467
Georgia,1982,Boys,312,9414
Hawaii,1982,Boys,48,1839
Idaho,1982,Boys,124,3096
Illinois,1982,Boys,599,24777
Indiana,1982,Boys,388,13350
Iowa,1982,Boys,477,13805
Kansas,1982,Boys,374,8977
Kentucky,1982,Boys,242,4723
Louisiana,1982,Boys,352,7040
Maine,1982,Boys,115,3450
Maryland,1982,Boys,138,4538
Massachusetts,1982,Boys,258,10618
Michigan,1982,Boys,651,24737
Minnesota,1982,Boys,442,11779
Mississippi,1982,Boys,235,4237
Missouri,1982,Boys,413,15134
Montana,1982,Boys,181,3802
Nebraska,1982,Boys,364,8656
Nevada,1982,Boys,51,1462
New Hampshire,1982,Boys,63,2400
New Jersey,1982,Boys,335,14878
New Mexico,1982,Boys,123,3315
New York,1982,Boys,682,22695
North Carolina,1982,Boys,281,10178
North Dakota,1982,Boys,194,2794
Ohio,1982,Boys,768,30366
Oklahoma,1982,Boys,323,4988
Oregon,1982,Boys,240,12000
Pennsylvania,1982,Boys,514,21200
Rhode Island,1982,Boys,40,1875
South Carolina,1982,Boys,174,6357
South Dakota,1982,Boys,205,4910
Tennessee,1982,Boys,198,6138
Texas,1982,Boys,1124,45456
Utah,1982,Boys,91,3270
Vermont,1982,Boys,27,898
Virginia,1982,Boys,270,9460
Washington,1982,Boys,303,9250
West Virginia,1982,Boys,122,3348
Wisconsin,1982,Boys,388,15286
Wyoming,1982,Boys,NA,NA
Alabama,1982,Girls,175,2100
Alaska,1982,Girls,20,557
Arizona,1982,Girls,138,3319
Arkansas,1982,Girls,230,2330
California,1982,Girls,792,19916
Colorado,1982,Girls,NA,NA
Connecticut,1982,Girls,119,4774
Delaware,1982,Girls,21,733
Dist. Of Columbia,1982,Girls,10,200
Florida,1982,Girls,320,6018
Georgia,1982,Girls,288,6525
Hawaii,1982,Girls,48,1089
Idaho,1982,Girls,124,2290
Illinois,1982,Girls,701,20317
Indiana,1982,Girls,383,10800
Iowa,1982,Girls,489,10555
Kansas,1982,Girls,373,6635
Kentucky,1982,Girls,241,4810
Louisiana,1982,Girls,322,6440
Maine,1982,Girls,95,2850
Maryland,1982,Girls,139,3290
Massachusetts,1982,Girls,252,8650
Michigan,1982,Girls,644,18595
Minnesota,1982,Girls,452,9862
Mississippi,1982,Girls,202,2829
Missouri,1982,Girls,397,11361
Montana,1982,Girls,181,2706
Nebraska,1982,Girls,364,6405
Nevada,1982,Girls,49,960
New Hampshire,1982,Girls,63,2200
New Jersey,1982,Girls,309,9849
New Mexico,1982,Girls,117,2472
New York,1982,Girls,554,15620
North Carolina,1982,Girls,226,5538
North Dakota,1982,Girls,204,2560
Ohio,1982,Girls,748,22260
Oklahoma,1982,Girls,331,4028
Oregon,1982,Girls,241,7230
Pennsylvania,1982,Girls,462,13977
Rhode Island,1982,Girls,27,890
South Carolina,1982,Girls,159,3815
South Dakota,1982,Girls,205,4199
Tennessee,1982,Girls,184,5704
Texas,1982,Girls,1117,44910
Utah,1982,Girls,89,2255
Vermont,1982,Girls,27,727
Virginia,1982,Girls,263,7091
