"Year","State","Students"
1999,"Massachusetts",257693
1999,"Michigan",448867
1999,"Minnesota",269736
1999,"Mississippi",130815
1999,"Missouri",259990
1999,"Montana",50348
1999,"Nebraska",91386
1999,"Nevada",81767
1999,"New Hampshire",57924
1999,"New Jersey",307945
1999,"New Mexico",96268
1999,"New York",774469
1999,"North Carolina",333983
1999,"North Dakota",38001
1999,"Ohio",541138
1999,"Oklahoma",179642
1999,"Oregon",162272
1999,"Pennsylvania",535400
1999,"Rhode Island",42113
1999,"South Carolina",186742
1999,"South Dakota",41546
1999,"Tennessee",240872
1999,"Texas",1077158
1999,"Utah",147857
1999,"Vermont",31522
1999,"Virginia",308627
1999,"Washington",302103
1999,"West Virginia",91413
1999,"Wisconsin",278839
1999,"Wyoming",31292
1900,"Alabama",202045
1900,"Alaska",38790
1900,"Arizona",228813
1900,"Arkansas",132893
1900,"California",1675778
1900,"Colorado",200982
1900,"Connecticut",150080
1900,"Delaware",32562
1900,"District Of Columbia",15849
1900,"Florida",655903
1900,"Georgia",378732
1900,"Hawaii",52565
1900,"Idaho",76314
1900,"Illinois",563940
1900,"Indiana",287282
1900,"Iowa",155506
1900,"Kansas",143129
1900,"Kentucky",186919
1900,"Louisiana",205282
1900,"Maine",59860
1900,"Maryland",236400
1900,"Massachusetts",265174
1900,"Michigan",454253
1900,"Minnesota",273671
1900,"Mississippi",129342
1900,"Missouri",262807
1900,"Montana",49965
1900,"Nebraska",91247
1900,"Nevada",85966
1900,"New Hampshire",59868
1900,"New Jersey",312631
1900,"New Mexico",95903
1900,"New York",781175
1900,"North Carolina",341200
1900,"North Dakota",37783
1900,"Ohio",540104
1900,"Oklahoma",179387
1900,"Oregon",165730
1900,"Pennsylvania",541172
1900,"Rhode Island",42751
1900,"South Carolina",183055
1900,"South Dakota",41400
1900,"Tennessee",251809
1900,"Texas",1095930
1900,"Utah",146450
1900,"Vermont",31913
1900,"Virginia",316757
1900,"Washington",308964
1900,"West Virginia",88049
1900,"Wisconsin",281314
