"State","Year","Gender","Schools","Participation","Event","Mark","Participation.Thousands","Mark.Standard"
"Oregon",1980,"Girls",232,5800,"1600m",292.894623,5.8,-0.644710677293765
"Oregon",1980,"Girls",232,5800,"800m",133.88,5.8,-0.959821343130218
"Oregon",1980,"Girls",232,5800,"High Jump",1.7526,5.8,-0.665287784281958
"Rhode Island",1980,"Girls",29,1062,"100m",12.2,1.062,-1.13601922101564
"Rhode Island",1980,"Girls",29,1062,"1600m",309.97719,1.062,-1.37240625254933
"Rhode Island",1980,"Girls",29,1062,"800m",142.2,1.062,-1.75647278856345
"Rhode Island",1980,"Girls",29,1062,"High Jump",1.5748,1.062,-1.62082333928675
"Tennessee",1980,"Girls",196,6076,"100m",11.7058,6.076,-0.451304668870157
"Tennessee",1980,"Girls",196,6076,"1600m",291.10176,6.076,-0.56833699925466
"Tennessee",1980,"Girls",196,6076,"800m",135.7083,6.076,-1.13488358323666
"Tennessee",1980,"Girls",196,6076,"High Jump",1.6256,6.076,-1.34781318071395
"Washington",1980,"Girls",306,7474,"100m",12.2,7.474,-1.13601922101564
"Washington",1980,"Girls",306,7474,"1600m",292.99074,7.474,-0.648805138952064
"Washington",1980,"Girls",306,7474,"800m",135.2112,7.474,-1.08728557439954
"Washington",1980,"Girls",306,7474,"High Jump",1.7272,7.474,-0.801792863568356
"Wisconsin",1980,"Girls",394,11580,"100m",12.4,11.58,-1.41311940399641
"Wisconsin",1980,"Girls",394,11580,"1600m",292.61,11.58,-0.632586100365954
"Wisconsin",1980,"Girls",394,11580,"800m",135.59,11.58,-1.12355619549691
