,2018-19,3A,Katelynne Hart,Glen Ellyn (Glenbard West),02:13.1
,2020-21,1A,Maleigha Huston,Bushnell (B.-Prairie City),02:18.5
,2020-21,2A,Marianne Mihas,Chicago (Latin),02:13.0
,2020-21,3A,Allison (Ali) Ince,Normal (Community),02:07.1
,2021-22,1A,Ahry Comer,Golconda (Pope County),02:16.1
,2021-22,2A,Becca Heitzig,Lincoln,02:10.0
,2022-23,1A,Ahry Comer,Golconda (Pope County),02:12.7
,2022-23,2A,Becca Heitzig,Lincoln,02:08.5
,2022-23,3A,Allison (Ali) Ince,Normal (Community),02:10.4
1-mile run,1972-73,,Melody Miller,Park Ridge (Maine East),05:23.3
,1973-74,,Lisa Hamity,Oak Park (O.P.-River Forest),05:04.5
,1974-75,,Betsy Oberle,Peoria (Academy of Our Lady),05:04.4
,1975-76,,Betsy Oberle,Peoria (Academy of Our Lady),05:05.1
,1976-77,,Lori Delap,Piper City (Ford Central),05:00.9
,1977-78,A,Nancy Purdy,Shabbona,05:16.1
,1977-78,AA,Jani Ensrud,Champaign (Central),04:56.6
,1978-79,A,Patty Carrell,Watseka,05:17.5
,1978-79,AA,Lisa Price,Mundelein (H.S.),05:00.3
1600-meter run,1979-80,A,Patty Carrell,Watseka,05:07.6
,1979-80,AA,Becky Cotta,Wheaton (North),05:02.6
,1980-81,A,Leslie Simmering,Greenview,05:14.6
,1980-81,AA,Cheryl Ward,Summit (Argo),04:57.3
,1981-82,A,Sara Schumacher,Teutopolis,04:57.7
,1981-82,AA,Sharon Locascio,Evergreen Park,05:00.0
,1982-83,A,Suzy Tuffey,Peoria (Bergan),05:06.0
,1982-83,AA,Melissa Straza,Urbana (H.S.),04:51.5
,1983-84,A,Suzy Tuffey,Peoria (Bergan),04:52.8
,1983-84,AA,Melissa Straza,Bloomington (H.S.),04:51.4
,1984-85,A,Jane Schumacher,Teutopolis,05:09.4
,1984-85,AA,Shelly McBride,Crete (C.-Monee),04:49.1
,1985-86,A,Robyn Stevens,Galatia,05:16.4
,1985-86,AA,Melissa Straza,Bloomington (H.S.),04:58.8
,1986-87,A,Karen Welke,Mahomet (M.-Seymour),05:09.9
,1986-87,AA,Dana Miroballi,Wheeling,04:57.3
,1987-88,A,Dyan Simon,Chicago (University),05:08.9
,1987-88,AA,Dana Miroballi,Wheeling,04:54.2
,1988-89,A,Christine Salsberry,Genoa (G.-Kingston),05:15.5
,1988-89,AA,Candice Tennell,Pekin,05:01.1
,1989-90,A,Rachel Knapp,Pecatonica,05:21.1
,1989-90,AA,Tina Stec,Downers Grove (South),05:17.2
,1990-91,A,Becky Garrett,Sparta,05:07.2
,1990-91,AA,Erin Redig,Palatine (H.S.),05:01.5
,1991-92,A,Treasure Schultz,Gardner (G.-South Wilmington),05:16.7
,1991-92,AA,Amy Marts,Barrington,05:06.6
,1992-93,A,Treasure Schultz,Gardner (G.-South Wilmington),05:22.8
,1992-93,AA,Julie Justmann,Palatine (H.S.),05:07.2
,1993-94,A,Kathy Greenfield,Westmont,05:15.2
,1993-94,AA,Cassidy Wall,Lemont (Mt. Assisi Academy),04:58.9
,1994-95,A,Alana Crisman,Beardstown,05:13.4
,1994-95,AA,Jenelle Deatherage,East Peoria,05:01.8
,1995-96,A,Heidi Knapp,Eureka,05:13.4
,1995-96,AA,Nell Shields,Glen Ellyn (Glenbard West),05:02.0
,1996-97,A,Alana Crisman,Rushville,05:09.5
,1996-97,AA,Rebecca Mitchell,Geneva,05:01.3
,1997-98,A,Catie LaBracke,Woodstock (Marian),05:07.8
,1997-98,AA,Tera Moody,St. Charles (H.S.),04:59.3
,1998-99,A,Catie LaBracke,Woodstock (Marian),05:07.1
,1998-99,AA,Tera Moody,St. Charles (H.S.),04:59.9
,1999-00,A,Lindsay Zeiler,Metropolis (Massac County),05:07.2
,1999-00,AA,Rebecca Mitchell,Geneva,04:57.7
,2000-01,A,Mindy Peterson,Taylor Ridge (Rockridge),05:10.0
,2000-01,AA,Maria Cicero,Elmhurst (York),04:52.9
,2001-02,A,Lindsay Zeiler,Metropolis (Massac County),05:10.0
,2001-02,AA,Maureen Scott,Mahomet (M.-Seymour),04:59.8
,2002-03,A,Rebekah Faber,Princeton,05:07.2
,2002-03,AA,Kristin Whitezell,Carol Stream (Glenbard North),04:59.1
,2003-04,A,Katelyn Bastert,Carthage,05:06.6
,2003-04,AA,Christina Fiduccia,Barrington,05:01.9
,2004-05,A,Katelyn Bastert,Carthage,04:59.7
,2004-05,AA,Hailee Elmore,Springfield (H.S.),04:57.2
,2005-06,A,Theresa Brokaw,Biggsville (West Central),05:02.6
,2005-06,AA,Haley Staples,Crystal Lake (Central),04:57.0
,2006-07,A,Katelyn Bastert,Carthage,04:52.4
,2006-07,AA,Ashley Verplank,Bloomington (H.S.),04:54.9
,2007-08,A,Olivia Klaus,Eureka,05:07.0
,2007-08,AA,Ashley Verplank,Bloomington (H.S.),04:55.0
,2008-09,1A,Stephanie Brown,Downs (Tri-Valley),05:01.5
,2008-09,2A,Margo Richardson,Mt. Vernon (H.S.),05:03.0
,2008-09,3A,Rebecca Tracy,Barrington,04:49.4
,2009-10,1A,Kelly Curran,Bloomington (Central Catholic),05:09.7
,2009-10,2A,Margo Richardson,Mt. Vernon (H.S.),04:57.9
,2009-10,3A,Karen Lesiewicz,Schaumburg (H.S.),04:55.0
,2010-11,1A,Sydni Meunier,Gibson City (G.C.-Melvin-Sibley),05:07.8
,2010-11,2A,Kayla Beattie,Woodstock (H.S.),04:43.6
,2010-11,3A,Sarah McIntosh,Palatine (H.S.),05:01.4
,2011-12,1A,Sydni Meunier,Gibson City (G.C.-Melvin-Sibley),05:07.9
,2011-12,2A,Katie Adams,Marengo,05:05.1
,2011-12,3A,Ariel Michalek,Oswego (East),04:53.4
,2012-13,1A,Julie James,El Paso (E.P.-Gridley),05:13.2
,2012-13,2A,Katie Adams,Marengo,05:00.8
,2012-13,3A,Madeline Perez,Glen Ellyn (Glenbard West),04:52.2
,2013-14,1A,Anna Sophia Keller,Effingham (St. Anthony),05:01.0
,2013-14,2A,Sydney Billingsley,Normal (University),05:02.3
,2013-14,3A,Anne Zaher,Hinsdale (Central),05:00.1
,2014-15,1A,Anna Sophia Keller,Effingham (St. Anthony),05:03.2
,2014-15,2A,Emily Martin,Aurora (Rosary),04:56.5
,2014-15,3A,Gabby Juarez,Streamwood,04:53.7
,2015-16,1A,Anna Sophia Keller,Effingham (St. Anthony),04:59.6
,2015-16,2A,Maryjeanne Gilbert,Peoria (Notre Dame),04:53.7
,2015-16,3A,Kelly O'Brien,Palatine (H.S.),04:56.4
,2016-17,1A,Anna Sophia Keller,Effingham (St. Anthony),04:58.4
,2016-17,2A,Grace McLaughlin,Rockford (Boylan Catholic),05:02.4
,2016-17,3A,Katelynne Hart,Glen Ellyn (Glenbard West),04:51.5
,2017-18,1A,Marianne Mihas,Chicago (Latin),04:56.3
,2017-18,2A,Campbell Petersen,Dunlap,05:06.0
,2017-18,3A,Katelynne Hart,Glen Ellyn (Glenbard West),04:47.4
,2018-19,1A,Marianne Mihas,Chicago (Latin),05:07.5
,2018-19,2A,Lianna Surtz,Aurora (Rosary),05:09.1
,2018-19,3A,Katelynne Hart,Glen Ellyn (Glenbard West),04:53.0
,2020-21,1A,Natalia Martino,Winnebago,05:05.5
,2020-21,2A,Elia Ton-That,Chicago (Northside),04:58.1
,2020-21,3A,Allison (Ali) Ince,Normal (Community),04:40.8
,2021-22,1A,Elena Rybak,Glen Carbon (Father McGivney),04:59.8
,2021-22,2A,Tatum David,Olney (Richland County),04:47.5
,2021-22,3A,Audrey Allman,Glen Ellyn (Glenbard West),04:49.8
,2022-23,1A,Elena Rybak,Glen Carbon (Father McGivney),05:03.1
,2022-23,2A,Tatum David,Olney (Richland County),04:49.7
,2022-23,3A,Anna Harden,Arlington Heights (Hersey),04:53.1
high jump,1972-73,,Jani Blakeman,Illiopolis,2-May
,1973-74,,Andra Olson,Sycamore (H.S.),5-May
,1974-75,,Mary Cragoe,Rochester,6-May
,1975-76,,Mary Cragoe,Rochester,9-May
,1976-77,,Sharon Carroll,Chicago (Lindblom),10-May
,1977-78,A,Lisa Plummer,Normal (University),7-May
,1977-78,AA,Carole O'Connor,Orland Park (Sandburg),8-May
,1978-79,A,Lisa Plummer,Normal (University),8-May
,1978-79,AA,Holly Johnson,Oak Lawn (Community),8-May
,1979-80,A,Melinda Morris,Buffalo (Tri-City),11-May
