"Year","Gender","Class","Name","Mark","Event","State"
1992,"Boys","B","Jeremiah Johnson    Waverly            ","4:26.29","1600m","Nebraska"
1992,"Boys","B","Quenten Esser      Conestoga            ","6-06","High Jump","Nebraska"
1992,"Boys","B","Colby Hood        Crete               ","14-06","Pole Vault","Nebraska"
1992,"Boys","B","Ray Baumbach      Seward              ","13-06","Pole Vault","Nebraska"
1992,"Boys","C","Tom Fish              Hastings St Cecilia    ","11.16","100m","Nebraska"
1992,"Boys","C","Kurt Tenopir        Cambridge             ","2:01.31","800m","Nebraska"
1992,"Boys","C","Jamie Hadenfeldt      Centura               ","4:26.81","1600m","Nebraska"
1992,"Boys","C","Jim Lipovsky      Sandy Creek             ","6-09","High Jump","Nebraska"
1992,"Boys","C","Jeremy Doty       Tecumseh                ","6-04","High Jump","Nebraska"
1992,"Boys","C","Sam Meyers         Superior        ","14-00","Pole Vault","Nebraska"
1992,"Boys","C","Bill Sullivan      Loup City       ","12-06","Pole Vault","Nebraska"
1992,"Boys","D","Curt Lenners        Filley                   ","11.20","100m","Nebraska"
1992,"Boys","D","Nathan Nauman        Giltner            ","2:00.78","800m","Nebraska"
1992,"Boys","D","Nathan Nauman       Giltner                 ","4:35.54","1600m","Nebraska"
1992,"Boys","D","Ryan Gottula       Table Rock           ","6-06","High Jump","Nebraska"
1992,"Boys","D","Josh Slominski     Falls City SH      ","14-02","Pole Vault","Nebraska"
1993,"Girls","A","Mikaela Perry         Omaha Northwest     ","11.86","100m","Nebraska"
1993,"Girls","A","Denise Koziol       Norfolk             ","2:17.22","800m","Nebraska"
1993,"Girls","A","Kathy Kearns          Millard North      ","5:15.93","1600m","Nebraska"
1993,"Girls","A","Stephanie Streeks   Gering                ","5-09","High Jump","Nebraska"
1993,"Girls","B","Keri Stopak         Columbus Scotus     ","12.38","100m","Nebraska"
1993,"Girls","B","Christy Rice        Central City        ","2:16.56","800m","Nebraska"
1993,"Girls","B","Nora Shepherd       York                ","5:03.58","1600m","Nebraska"
1993,"Girls","B","Amanda Saner      Ogallala              ","5-05","High Jump","Nebraska"
1993,"Girls","B","Tiffany Borden    Holdrege              ","5-01","High Jump","Nebraska"
1993,"Girls","C","Lesley Ringenberg     Eustis-Farnam        ","12.43","100m","Nebraska"
1993,"Girls","C","Jodi Dubs            David City            ","2:17.43","800m","Nebraska"
1993,"Girls","C","Melinda Mohr          Winside             ","5:20.32","1600m","Nebraska"
1993,"Girls","C","Tori Holtmeier       Tri County              ","5-06","High Jump","Nebraska"
1993,"Girls","D","Arla Ridenour        Mullen            ","12.64","100m","Nebraska"
1993,"Girls","D","Catherine Palmer     Keya Paha         ","2:19.04","800m","Nebraska"
1993,"Girls","D","Tara Biltoft         Nelson           ","5:23.89","1600m","Nebraska"
