,2A,"Taylor Jacobs, FAMU (Tallahassee), 11.05"
2000,4A,"Mike Frater, Boyd Anderson (Lauderdale"
,,"Lakes), 10.79"
,3A,"Justin Gatlin, Woodham (Pensacola), 10.69"
,2A,"Jason Cannon, Astronaut (Titusville), 10.83"
,A,"Jeff Miller, Trinity Prep (Winter Park), 11.22"
2001,4A,"Dwight Ellick, Wharton (Tampa), 10.84"
,3A,"Frederick Robinson, Glades Central (Belle"
,,"Glade), 10.79"
,2A,"Willie Lewis, Astronaut (Titusville), 10.97"
,A,"Reggie Quinn, Port St. Joe, 10.97"
2002,4A,"Travarous Bain, Miami Northwestern, 10.74"
,3A,"Fredrick Robinson, Glades Central (Belle"
,,"Glade), 10.65"
,2A,"Demetrice Hankerson, Bradford (Starke),"
,,10.85
,A,"Kareem Edwards, Dade Christian (Miami),"
,,10.75
2003,4A,"Walter Dix, Coral Springs, 10.46"
,3A,"Xavier Carter, Palm Bay (Melbourne), 10.59"
,2A,"McIntosh Nicolas, Immokalee, 10.83"
,A,"Reginald Knox, Havana Northside, 10.82"
2004,4A,"Walter Dix, Coral Springs, 10.38"
,3A,"Xavier Carter, Palm Bay (Melbourne), 10.56"
,2A,"Brandon Bass, Bradford (Starke), 10.91"
,1A,"Ronnie Jackson, Chattahoochee, 11.02"
2005,4A,"Teddy Poole, Lakeland, 10.89"
,3A,"O.J. Murdock, Middleton (Tampa), 10.66"
,2A,"Jacoby Ford, Cardinal Newman (West Palm"
,,"Beach), 10.32"
,1A,"Lavaris Edwards, Bay Point (Miami), 10.92"
2006,4A,"Harry Adams, Dillard (Fort Lauderdale),"
