Year,Event,Class,Name,School,Mark
,,5A,Diamond Atkins,Woodland (Stockbridge) Wolfpack,"130' 7"""
,,4A,Makenli Forrest,Woodward Academy War Eagles,"148' 4"""
,,3A,Ivey Ginn,Franklin County Lions,"116' 6"""
,,2A,Tristan Herndon,Jeff Davis Yellow Jackets,"132' 7"""
,,1A,Ansley White,Marion County Eagles,"131' 6"""
,,1A-P,Julia Harisay,Athens Academy Spartans,"143' 8"""
2016,4x100m Relay,6A,"Tamiya Roberts, Nilaja Florence, Makenzie Dunmore, Jasmine Reese",McEachern Indians,46.01
,,5A,"Kayla Alexander, Angel Amadi, Kendria Edouard, Aliyah Sangster",Chapel Hill Panthers,46.54
,,4A,"Jaeda Hunt, J'Milya Poole, Kandice Clyde, Jahari Williams",Monroe (Albany) Tornadoes,46.17
,,3A,"D'Nautica Chappell, Danautical Murphy, Lycis Hammock, Zoe Jordan",Westside (Macon) Seminoles,48.12
,,2A,"Nia Brown, Jada Jones, Stephanie Reynolds, Kenndy Street",Greater Atlanta Christian Spartans,47.53
,,1A,"Lauryn Barber, Calli McMullen, Taylor Curtis, Abigail Kirkland",Georgia Military College Bulldogs,49.69
,,1A-P,"Parker Pinholster, T'Aja Cameron, Palmer Pinholster, Kayland Thomason)",Eagles Landing Christian Chargers,48.32
,1600m Run,6A,Riley Burr,Milton Eagles,04:48.8
,,5A,Alyssa LeClaire,McIntosh Chiefs,05:05.9
,,4A,Josie Wirtz,Marist War Eagles,05:07.2
,,3A,Sue Ann Morales,East Jackson Eagles,04:59.8
,,2A,Serena Tripodi,Lovett Lions,05:04.0
,,1A,Kate Massey,Commerce Tigers,05:35.6
,,1A-P,Anna Marian Block,Athens Academy Spartans,04:51.3
,400m Dash,6A,MaKenzie Dunmore,McEachern Indians,53.01
,,5A,Kareema Grier,Shaw Raiders,54.86
,,4A,Myria Dorsey,St. Pius X Golden Lions,54.44
,,3A,Taryn Oneal,Jackson (ATL) Jaguars,56.49
,,2A,Victoria Powell,Lovett Lions,53.94
,,1A,Calli McMullen,Georgia Military College Bulldogs,57.37
,,1A-P,Tyra Poole,Walker,58.18
,100m Dash,6A,Kaylah Lumsden,Tucker Tigers,11.74
,,5A,Cassondra Hall,Warner Robins Demons,11.49
,,4A,Amecia Pennamon,Mary Persons Bulldogs,11.76
,,3A,Halimah Barlow,Douglass (ATL) Astros,12.16
,,2A,Taylor DeLoach,St. Vincent's Saints,12.05
,,1A,KeAsia Freeman,Irwin County Indians,12.22
,,1A-P,T' Aja Cameron,Eagles Landing Christian Chargers,11.74
,100m Intermediate Hurdles,6A,Tia Jones,Walton Raiders,13.2
,,5A,Kayla Alexander,Chapel HIll Panthers,14.36
,,4A,Destinee Rocker,Arabia Mountain,14.11
,,3A,Tyreon Coleman,Butler Bulldogs,15.5
,,2A,Stephanie Reynolds,Greater Atlanta Christian Spartans,14.79
,,1A,Uniqua Mosley,Portal Panthers,15.3
,,1A-P,Morgan Lewis,Mount Vernon Presbyterian Mustangs,14.32
,800m Run,6A,Riley Burr,Milton Eagles,02:10.6
,,5A,Daryn Petitt,Richmond Hill Wildcats,02:14.5
,,4A,Betty Jackson,Eagle's Landing Eagles,02:16.0
,,3A,Sue Ann Morales,East Jackson Eagles,02:15.6
,,2A,Ellen Powell,Bleckly County Royals,02:19.7
,,1A,Jaelin Pollard,Greenville Blue Devils,02:28.9
,,1A-P,Anna Marian Block,Athens Academy Spartans,02:10.8
,200m Dash,6A,MaKenzie Dunmore,McEachern Indians,23.82
,,5A,Cassondra Hall,Warner Robins Demons,23.88
,,4A,Amecia Pennamon,Mary Persons Bulldogs,23.81
,,3A,Halimah Barlow,Douglass (ATL) Astros,24.45
,,2A,Taylor DeLoach,St. Vincent's Saints,23.88
,,1A,Brandy Mackey,Telfair County Trojans,25.33
,,1A-P,T' Aja Cameron,Eagles Landing Christian Chargers,24.32
,300m Low Hurdles,6A,Alexis Jones,Campbell Spartans,42.45
,,5A,Kamaya Street,Mays Raiders Raiders,42.8
,,4A,Tamira Gitonga,Marist War Eagles,42.21
,,3A,Alexus Shaw,Pierce County Bears,44.09
,,2A,Chelsea Zoller,Holy Innocents' Golden Bears,43.43
,,1A,Abilgail Kirkland,Georgia Military College Bulldogs,46.17
,,1A-P,Katie Phillips,Athens Academy Spartans,45.31
,3200m Run,6A,Lindsay Billings,Northview Titans,10:21.7
,,5A,Alyssa LeClaire,McIntosh Chiefs,10:54.6
,,4A,Josie Wirtz,Marist War Eagles,10:54.7
,,3A,Mary Claire Solomon,Blessed Trinity Titans,10:53.4
,,2A,Serena Tripodi,Lovett Lions,11:00.2
,,1A,Kate Massey,Commerce Tigers,12:09.1
,,1A-P,Emma Grace Hurley,Fellowship Christian Paladins,10:33.2
,4x400m Relay,6A,"Makenzie Dunmore, Tamiya Roberts, Nilaja Florence, Shania Evans",McEachern Indians,03:44.9
,,5A,"Kennedy Crawford, Kennedi Weston Shields, Tyra Williams, Jayda Drake-Howard",North Springs Trojans,03:47.7
,,4A,"Jaeda Hunt, J'Milya Poole, Kandice Clyde, Jahari Williams",Monroe (Albany) Tornadoes,03:45.6
,,3A,"Taryn Oneal, Jabrea Smith, Niyka Smith, Jada Cummings",Jackson (ATL) Jaguars,03:56.6
,,2A,"Sheridan Davenport, Kylie Reed, Sutton West, Cairo Booker",Wesleyan Wolves,03:55.1
,,1A,"Allie Kauzlarich, Calli McMullen, Cire Foston, Abigail Kirkland",Georgia Military College Bulldogs,04:05.5
,,1A-P,"Ansley Goode, Kayland Thomason, Parker Pinholster, T'Aja Cameron",Eagles Landing Christian Chargers,04:00.8
,High Jump,6A,Jada Watson,Westlake Lions,"5' 6"""
,,5A,NaTosha Jordan,Richmond Academy Muskateers,"5' 8"""
,,4A,Imani Carmouche,Mt. Zion (Jonesboro) Bulldogs,"5' 8"""
,,3A,Mia Mckensey,West Hall Spartans,"5' 4"""
,,2A,Morgan Carelock,Jeff Davis Yellow Jackets,"5' 4"""
,,1A,Calli McMullen,Georgia Military College Bulldogs,"5' 0"""
,,1A-P,Summer Hendley,Savannah Christian Raiders,"5' 2"""
,Long Jump,6A,Kennedy Simon,Westlake Lions,"19' 2.25"""
,,5A,Bria Dean,North Springs Trojans,"19' 10.25"""
,,4A,Jahari Williams,Monroe (Albany) Tornadoes,"19' 8"""
,,3A,Tyreon Coleman,Butler Bulldogs,"18' 2"""
,,2A,Taylor DeLoach,St. Vincent's Saints,"20' 5.25"""
,,1A,Brandy Mackey,Telfair County Trojans,"18' 1"""
,,1A-P,Summer Hendley,Savannah Christian Raiders,"18' 0.5"""
,Triple Jump,6A,Brianna Isles,Brookwood Broncos,"40' 0.25"""
,,5A,Zion Lewis,Creekview Grizzlies,"40' 2.5"""
,,4A,Tyeisha Juhan,Mt. Zion (Jonesboro) Bulldogs,"40' 4.25"""
,,3A,Zoe Jordan,Westside (Macon) Seminoles,"37' 11.25"""
,,2A,Nicole Teague,Lovett Lions,"39' 8.5"""
,,1A,NyAsia Howard,Telfair County Trojans,"35' 7.5"""
,,1A-P,Jordan Allen,Tattnall Square Trojans,"38' 4.25"""
,Pole Vault,6A,Rachel Sherrill,Dacula Falcons,"11' 6"""
,,5A,Abigail Dickinson,Starr's Mill Panthers,"11' 0"""
,,4A,Alex Potts,Woodward Academy War Eagles,"11' 6"""
,,3A,Claire Cotton,Westminster Wildcats,"9' 0"""
,,2A,Kaylee Riley,Bremen Blue Devils,"11' 4"""
,,1A,Anna Hardy,Commerce Tigers,"7' 6"""
,,1A-P,Carson Dingler,First Presbyterian Vikings,"13' 2"""
,Shot Put,6A,Nia Seldon,Marietta Bule Devils,"44' 7"""
,,5A,Timberly Molden,Stephenson Jaguars,"43' 8.5"""
,,4A,Makenli Forrest,Woodward Academy War Eagles,"40' 5"""
,,3A,Camilla Sims,Jackson (ATL) Jaguars,"39' 11"""
,,2A,Madelyn Lee,Gordon Lee Trojans,"44' 9"""
,,1A,Tynesia Whitehead,Turner County Rebels,"34' 3"""
,,1A-P,Abilgail Rogers,Eagles Landing Christian Chargers,"42' 0"""
,Discus,6A,Chelsea Igberaese,Dacula Falcons,"142' 0"""
,,5A,Timberly Molden,Stephenson Jaguars,"132' 11"""
,,4A,Makenli Forrest,Woodward Academy War Eagles,"133' 8"""
,,3A,Amani Taylor,Cedar Grove Saints,"123' 9"""
,,2A,Madelyn Lee,Gordon Lee Trojans,"132' 5"""
,,1A,Ansley Whitley,Marion County Eagles,"111' 10"""
,,1A-P,Maggie Johnston,First Presbyterian Vikings,"144' 05"""
,Wheelchair,Shot Put (Class 1),Mary Kaitlyn Wheeler,East Laurens Rams,"14' 0"""
,,200m,Mary Kaitlyn Wheeler,East Laurens Rams,50.57
,,800m,Mary Kaitlyn Wheeler,East Laurens Rams,03:50.2
2015,4x100m Relay,6A,"Aliyah Abrams, Alexis Adams, Sydney Davis, Chika Motanya",Grayson Rams,46.58
,,5A,"Tyra Williams, Lauren Jackson, Dorian Perkins, Micaiah Ransby",North Springs Spartans,47.07
,,4A,"Daloria Boone, Brittany Trawick, Zykeria Williams, Jasmine Chester",Baldwin Braves,45.91
,,3A,"Daisha Terry, Mya Ford, D'Nautica Chappell, Tamdra Lawrence",Westside (Macon) Seminoles,48.04
,,2A,"Nia Brown, Stephanie Reynolds, Jada Jones, Kennedy Street",Greater Atlanta Christian Spartans,48.12
,,1A,"Sutton Long, Keely Murner, Calli McMullen, Kita Aycock",Georgia Military College Bulldogs,49.39
,,1A-P,"Arianna Blake, Deja Barthell, Landy Thomas, Leah Banks",Our Lady of Mercy Bobcats,48.14
,1600m Run,6A,Lindsay Billings,Northview Titans,04:50.8
,,5A,Marielle Lewis,Kell Longhorns,05:11.2
,,4A,Morgan Ilse,Marist War Eagles,04:56.4
,,3A,Sue Anne Morales,East Jackson Eagles,05:12.6
,,2A,Serena Tripodi,Lovett Lions,05:00.0
,,1A,Cavanna Epps,Central (Talbotton) Hawks,05:48.0
,,1A-P,Anna Marian Block,Athens Academy Spartans,04:51.7
,400m Dash,6A,Aliyah Abrams,Grayson Rams,53.1
,,5A,Micahiah Ransby,North Springs Spartans,54.81
,,4A,Caitie Faust,Marist War Eagles,55.22
,,3A,Jahmee Reeves,Decatur Bulldogs,56.98
,,2A,Chelsea Zoller,Holy Innocents' Golden Bears,54.67
,,1A,Calli McMullen,Georgia Military College Bulldogs,56.45
,,1A-P,Ally Smith,Mt. Pisgah Patriots,01:01.3
,100m Dash,6A,Candace Hill,Rockdale County Bulldogs,11.34
,,5A,Cassondra Hall,Northside (WR) War Eagles,11.69
,,4A,Daloria Boone,Baldwin Braves,11.71
,,3A,Tamdra Lawrence,Westside (Macon) Seminoles,11.95
,,2A,Taylor DeLoach,St. Vincent's Saints,11.8
,,1A,Desiree Blunt,Twiggs County Cobras,12.31
,,1A-P,Deja Barthell,Our Lady of Mercy Bobcats,12.34
,100m Intermediate Hurdles,6A,Tatiyana Rayford,Woodstock Wolverines,13.99
,,5A,Kayla Alexander,Chapel Hill Panthers,14.21
,,4A,Chinyere Njoku,Fayette County Tigers,13.84
,,3A,Cortney Jones,Jackson (ATL) Jaguars,13.97
,,2A,Stephanie Reynolds,Greater Atlanta Christian Spartans,15.01
,,1A,Taneisha Huckaby,Terrell County Greenwave,15.85
,,1A-P,Collier Middleton,Walker Wolverines,14.75
,800m Run,6A,Mary Jeanne Assunzo,Marietta Blue Devils,02:12.4
,,5A,Lauren Jackson,North Springs Spartans,02:12.1
,,4A,Caitie Faust,Marist War Eagles,02:11.2
,,3A,Sue Anne Morales,East Jackson Eagles,02:21.4
,,2A,Ellen Powell,Bleckley County Royals,02:21.5
,,1A,Jaelin Pollard,Greenville Patriots,02:29.8
,,1A-P,Anna Marian Block,Athens Academy Spartans,02:13.7
,200m Dash,6A,Candace Hill,Rockdale County Bulldogs,23.05
,,5A,Cassondra Hall,Northside (WR) War Eagles,23.91
,,4A,Zykeria Williams,Baldwin Braves,24.21
,,3A,Tamdra Lawrence,Westside (Macon) Seminoles,24.46
,,2A,Taylor DeLoach,St. Vincent's Saints,24.39
,,1A,Desiree Blunt,Twiggs County Cobras,25.27
,,1A-P,T'Aja Cameron,Eagles Landing Christian Academy Chargers,24.41
,300m Low Hurdles,6A,Alexis Jones,Campbell Spartans,42.12
,,5A,Lauren Epps,Forest Park Panthers,43.03
,,4A,Erin Marsh,Buford Wolves,42.91
,,3A,Alexus Shaw,Pierce County Bears,44.65
,,2A,Khadejah Jackson,Lovett Lions,43.45
,,1A,Aja Alexander,Warren County Screaming Devils,45.83
,,1A-P,Sydney Force,Strong Rock Christian Patriots,45.67
,3200m Run,6A,Lindsay Billings,Northview Titans,10:27.2
,,5A,Ansley Heavern,Dunwoody Wildcats,11:38.7
,,4A,Morgan Ilse,Marist War Eagles,10:25.4
,,3A,Mary Claire Solomon,Blessed Trinity Titans,11:05.9
,,2A,Serena Tripodi,Central (Carrollton) Lions,10:54.2
,,1A,Cavanna Epps,Central (Talbotton) Hawks,12:38.1
,,1A-P,Emma Grace Hurley,Fellowship Christian Paladins,10:38.0
,4x400m Relay,6A,"Nilaja Florence, Tamiya Roberts, Shania Evans, MaKenzie Dunmore",McEachern Indians,03:46.5
,,5A,"Tyra Williams, Lauren Jackson, Dorian Perkins, Micaiah Ransby",North Springs Spartans,03:44.4
,,4A,"Promise Clark, Miyah Golden, Zindzy Jones, Shequilla McClain",Redan Raiders,03:51.4
,,3A,"Ziya Crawford, Kayla Jordon, Jabrea Smith, Taryn O'Neal",Jackson (ATL) Jaguars,03:58.8
,,2A,"Cairo Booker, Kylie Reed, Maddie Jones, Sutton West",Wesleyan Wolves,04:00.1
,,1A,"Sutton Long, Keely Murner, Calli McMullen, Kita Aycock",Georgia Military College Bulldogs,04:08.0
,,1A-P,"Taylor Aguillard, T'Aja Cameron, Parker Pinholster, Ansley Goode",Eagles Landing Christian Academy Chargers,04:04.1
,High Jump,6A,Tene Thompson,Hillgrove Hawks,"5' 6"""
,,5A,NaTosha Jordan,Richmond Hill Wildcats,"5' 8"""
,,4A,Asia Green,Fayette County Tigers,"5' 8"""
,,3A,Cortney Jones,Jackson (ATL) Jaguars,"5' 4"""
,,2A,Morgan Carelock,Jeff Davis Yellow Jackets,"5' 4"""
,,1A,Timberly Watson,Jenkins County War Eagles,"5' 2"""
,,1A-P,Summer Hendley,Savannah Christian Raiders,"5' 2"""
,Long Jump,6A,Mia Phillips,Westlake Lions,"19' 0.5"""
,,5A,Alexis Farley,Starr's Mill Panthers,"19' 5.5"""
,,4A,Daloria Boone,Baldwin Braves,"19' 10.25"""
,,3A,Ansley Long,Central (Carrollton) Lions,"19' 1"""
,,2A,Taylor DeLoach,St. Vincent's Saints,"19' 11.5"""
,,1A,Cierra Norman,Lincoln County Red Devils,"16' 10"""
,,1A-P,Leah Banks,Our Lady of Mercy Bobcats,"18' 2"""
,Triple Jump,6A,Anriel Howard,Westlake Lions,"40' 8"""
,,5A,Bria Matthews,Forest Park Panthers,"43' 5.5"""
,,4A,Brittany Trawick,Baldwin Braves,"39' 0.5"""
,,3A,Zion Lewis,Blessed Trinity Titans,"37' 10.75"""
,,2A,Nicole Teague,Lovett Lions,"37' 9.5"""
,,1A,Kita Aycock,Georgia Military College Bulldogs,"35' 3"""
,,1A-P,T'Aja Cameron,Eagles Landing Christian Academy Chargers,"37' 4.5"""
,Pole Vault,6A,Rachel Sherrill,Dacula Falcons,"11' 6"""
,,5A,Alexa Johnson,Sequoyah Chiefs,"11' 0"""
,,4A,Anna Hightower,Cartersville Purple Hurricanes,"11' 7"""
,,3A,Heather Ortiz,Sonoraville Phoenix,"10' 6"""
,,2A,Kaylee Riley,Bremen Blue Devils,"11' 0"""
,,1A,Jordan Crews,Mt. Zion (Carroll) Eagles,"8' 6"""
,,1A-P,Carson Dingler,First Presbyterian Vikings,"12' 0"""
,Shot Put,6A,Vicki Harris,Parkview Panthers,"46' 2.25"""
,,5A,Timberly Molden,Stephenson Jaguars,"43' 1.5"""
,,4A,Noelle Parker,Whitewater Wildcats,"46' 9.5"""
,,3A,Jhalexius Chandler,East Jackson Eagles,"39' 2.25"""
,,2A,Danisha Jones,Thomasville Bulldogs,"44' 11"""
,,1A,Alexis Jordan,Mt. Zion (Carroll) Eagles,"37' 5.5"""
,,1A-P,Abigail Rogers,Eagles Landing Christian Academy Chargers,"41' 3.25"""
,Discus,6A,Hayden Merrick,Johns Creek Gladiators,"147' 3"""
,,5A,Timberly Molden,Stephenson Jaguars,"131' 11"""
,,4A,Harper Seymour,North Hall Trojans,"127' 0"""
,,3A,Amani Taylor,Cedar Grove Saints,"116' 9"""
,,2A,Danisha Jones,Thomasville Bulldogs,"137' 2"""
,,1A,Ikeria Brown,Claxton Tigers,"108' 1"""
,,1A-P,Maggie Johnston,First Presbyterian Vikings,"133' 2"""
,Wheelchair,Shot Put (Class 1),Mary Kaitlyn Wheeler,East Laurens Rams,"15' 1.5"""
,,200m,Mary Kaitlyn Wheeler,East Laurens Rams,50.14
,,800m,Mary Kaitlyn Wheeler,East Laurens Rams,03:36.8
2014,4x100m Relay,6A,"MaKenzie Dunmore, Cierra Dunston, Shania Evans, Kristin Hall",McEachern Indians,46.06
,,5A,"Takera James, Cassondra Hall, Toneah Martin, Tia Williams",Northside (Warner Robins) Eagles,46.82
,,4A,"Miyah Golden, Promise Clark, SheQuilla McClain, Zindzy Jones",Redan Raiders,47.9
,,3A,"Shyleah Catlin, Courtney Jones, Garielle Netter, Sabreea Roberson",Jackson (ATL) Jaguars,48.59
,,2A,"Kionna Walker, Sierra Jacobs, Mokila Tyler, Brenay Brown, Jasmine Bartlett",Laney Wildcats,49.1
,,1A,"Kayla Lawrence, Teryetta Chester, Derykah Yates, Akerian Florence",Mitchell County Eagles,49.39
,,1A-P,"Sydney Spencer, Taylor Aguillard, Alexis Ross, T'Aja Cameron",Eagles Landing Christian Academy Chargers,48.93
,1600m Run,6A,Mary Jeanne Assinzo,Marietta Blue Devils,05:02.7
,,5A,Alex Cameron,Dunwoody Wildcats,05:06.2
,,4A,Morgan Ilse,Marist War Eagles,05:03.0
,,3A,Jenna Gearing,White County Warriors,05:05.9
,,2A,Serena Tripodi,Lovett Lions,05:13.6
,,1A,Cavana Epps,Central (Talbotton) Hawks,05:46.7
,,1A-P,Helen Williams,Atlanta International Eagles,05:00.5
,400m Dash,6A,MaKenzie Dunmore,McEachern Indians,54.21
,,5A,Tia Williams,Northside (Warner Robins) Eagles,56.09
,,4A,Promise Clark,Redan Raiders,56.34
,,3A,Kendsey Chappelear,Franklin County Lions,57.38
,,2A,Cairo Booker,Wesleyan Wolves,58.83
,,1A,Calli McMullen,Georgia Military College Bulldogs,59.89
,,1A-P,Chelsea Zoller,Holy Innocents' Golden Bears,25.1
,100m Dash,6A,Candace Hill,Rockdale County Bulldogs,11.44
,,5A,Cassondra Hall,Northside (Warner Robins) Eagles,11.66
,,4A,Jahari Williams,Monroe (Albany) Tornadoes,11.94
,,3A,Maia Caldwell-Booker,West Hall Spartans,12.2
,,2A,Tylor DeLoach,St. Vincent's Saints,12.21
,,1A,Desiree Blunt,Twiggs County Cobras,12.59
,,1A-P,T'Aja Cameron,Eagles Landing Christian Academy Chargers,12.03
,100m Intermediate Hurdles,6A,Shanel Burr,North Cobb Warriors,13.99
,,5A,Tiffany Flynn,Miller Grove Wolverines,13.96
,,4A,Chinyere Njoku,Fayette County Tigers,14.06
,,3A,Courtney Jones,Jackson (ATL) Jaguars,14.61
,,2A,Sally Woerner,Rabun County Wildcats,15.09
,,1A,Uniqua Mosley,Portal Panthers,16.05
,,1A-P,Collier Middleton,Walker Wolverines,14.93
,800m Run,6A,Mary Jeanne Assinzo,Marietta Blue Devils,02:13.4
,,5A,Kierra Washington,Tucker Tigers,02:19.9
,,4A,Caitie Faust,Marist War Eagles,02:15.9
,,3A,Bailey Willett,Blessed Trinity Titans,02:14.2
,,2A,Ellen Powell,Bleckley County Royals,02:19.4
,,1A,Haley Collins,Schley County Wildcats,02:29.9
,,1A-P,Jada Davis,St. Francis Knights,02:20.3
,200m Dash,6A,Candace Hill,Rockdale County Bulldogs,23.21
,,5A,Cassondra Hall,Northside (Warner Robins) Eagles,24.14
,,4A,Jahari Williams,Monroe (Albany) Tornadoes,24.32
,,3A,Bree Teasley,Franklin County Lions,24.87
,,2A,Tylor DeLoach,St. Vincent's Saints,24.68
,,1A,Kimmie Davis,Baconton Charter Blazers,25.93
,,1A-P,T'Aja Cameron,Eagles Landing Christian Academy Chargers,24.76
,300m Low Hurdles,6A,Natisha Dixon,Wheeler Wildcats,42.68
,,5A,Morgan Hubbard,Heritage (Conyers) Patriots,42.94
,,4A,Chinyere Njoku,Fayette County Tigers,43.31
,,3A,Erica Evans,Woodward Academy War Eagles,44.78
,,2A,Tierra Whitlock,Monticello Purple Hurricanes,44.72
,,1A,Malique Brunner,Elite Scholars Academy Royal Knights,47.96
,,1A-P,Lauren Hadley,Pace Academy Knights,47.12
,3200m Run,6A,Avery Bussjager,Walton Raiders,10:46.9
,,5A,Lindsay Billings,Northview Titans,10:49.3
,,4A,Morgan Ilse,Marist War Eagles,10:56.9
,,3A,Jenna Gearing,White County Warriors,11:03.3
,,2A,Hailey Branch,Lovett Lions,11:14.2
,,1A,Cavana Epps,Central (Talbotton) Hawks,12:47.4
,,1A-P,Helen Williams,Atlanta International Eagles,10:41.0
,4x400m Relay,6A,"MaKenzie Dunmore, Cierra Dunston, Shania Evans, Kristin Hall, Deja Henry",McEachern Indians,03:44.6
,,5A,"Cassondra Hall, Toleah Martin, Toneah Martin, Mekhaela Witherspoon",Northside (Warner Robins) Eagles,03:48.9
,,4A,"Kandice Clyde, Nikeria Marshall, Deaundria Anderson, Jahari Williams",Monroe (Albany) Tornadoes,03:53.2
,,3A,"Anna Gandalfo, Madeleine Iassogna, Shannon Innis, Bailey Willett",Blessed Trinity Titans,03:59.9
,,2A,"Sheridan Davenport, Kylie Reed, Jayla Jones, Cairo Booker",Wesleyan Wolves,04:01.5
,,1A,"Sutton Long, Calli McMullen, Keely Murner, Kita Aycock",Georgia Military College Bulldogs,04:13.5
,,1A-P,"Taylor Aguillard, T'Aja Cameron, Ansley Goode, Parker Pinholster",Eagles Landing Christian Academy Chargers,04:07.7
,High Jump,6A,Jazmyn Johnson,Duluth Wildcats,"5' 6"""
,,5A,Camille Fahrnbauer,Creekview Grizzlies,"5' 4"""
,,4A,Bailey Weiland,Marist War Eagles,"5' 8"""
,,3A,Mary Terry,North Oconee Titans,"5' 6"""
,,2A,Tierra Whitlock,Monticello Purple Hurricanes,"5' 2"""
,,1A,Anna Pettigrew,Gordon Lee Trojans,"5' 3"""
,,1A-P,Summer Headley,Savannah Christian Raiders,"5' 1"""
,Long Jump,6A,Bola Hambolu,Collins Hill Eagles,"17' 9"""
,,5A,Tiffany Flynn,Miller Grove Wolverines,"18' 8.75"""
,,4A,Jahari Williams,Monroe (Albany) Tornadoes,"18' 2"""
,,3A,Summer Thompson,Woodward Academy War Eagles,"18' 1.5"""
,,2A,Taylor DeLoach,St. Vincent's Saints,"18' 5.5"""
,,1A,Kimmie Davis,Baconton Charter Blazers,"17' 2.25"""
,,1A-P,Leah Banks,Our Lady of Mercy Bobcats,"17' 4"""
,Triple Jump,6A,Auriel Howard,Westlake Lions,"39' 11"""
,,5A,Tiffany Flynn,Miller Grove Wolverines,"41' 11"""
,,4A,Trezha Berryman,Lanier (Gwinnett) Longhorns,"36' 7.5"""
,,3A,Jasmine Roberts,Southeast Bulloch Yellow Jackets,"37' 9.75"""
,,2A,Nicole Teague,Lovett Lions,"37' 0.5"""
,,1A,Jada Gardner,Marion County Eagles,"33' 9.5"""
,,1A-P,T'Aja Cameron,Eagles Landing Christian Academy Chargers,"37' 8.25"""
,Pole Vault,6A,Shelby Smith,Kennesaw Mountain Mustangs,"12' 0"""
,,5A,Samantha Patterson,Woodland (Cartersville) Wildcats,"10' 6"""
,,4A,Anna Marie Simoneaux,Marist War Eagles,"10' 0"""
,,3A,Gabrielle Hoffman,North Hall Trojans,"11' 0"""
,,2A,Sarah Zimmerman,Bremen Blue Devils,"10' 6"""
,,1A,Anna Pettigrew,Gordon Lee Trojans,"9' 0"""
,,1A-P,Carson Dingler,First Presbyterian Vikings,"12' 7"""
,Shot Put,6A,Leena Morris,Etowah Eagles,"41' 9"""
,,5A,Noelle Parker,Whitewater Wildcats,"44' 8"""
,,4A,Nyla Woods,Grady Grey Knights,"39' 9"""
,,3A,Diamond Reese,Jackson (ATL) Jaguars,"37' 10"""
,,2A,Danisha Jones,Thomasville Bulldogs,40' 10
,,1A,Shay Wooten,Gordon Lee Trojans,"36' 11"""
,,1A-P,Anna Machovec,Prince Avenue Christian Wolverines,41' 0:
,Discus,6A,Hayden Merrick,Johns Creek Gladiators,"142' 8"""
,,5A,Andrea Vahoua,Pope Greyhounds,"128' 6"""
,,4A,Courtney Bennett,Liberty County Panthers,"122' 9"""
,,3A,Harper Seymour,North Hall Trojans,"119' 9"""
,,2A,Danisha Jones,Thomasville Bulldogs,"114' 5"""
,,1A,Katelyn Lee,Gordon Lee Trojans,"117' 11"""
,,1A-P,Anna Machovec,Prince Avenue Christian Wolverines,"132' 6"""
,Wheelchair,Shot Put (Class 1),Mary Kaitlyn Wheeler,East Laurens Falcons,"13' 5"""
,,200m,Mary Kaitlyn Wheeler,East Laurens Falcons,55.71
,,800m,Mary Kaitlyn Wheeler,East Laurens Falcons,04:16.8
2013,4x100m Relay,6A,"SheKara Martin, Jenee Nichols, Justice Reeves, Ariel Terrell",Westlake Lions,45.92
,,5A,"Chelsea Caldwell, Charisma Green, Desirae Betton, Jada Martin",M.L. King Lions,47.13
,,4A,"Alexis Willis, Danielle Davis, Dominique Foster, Victoria Parker",Sandy Creek Patriots,47.67
,,3A,"Jackie Kinney, Elizabeth Tillman, Megan Miller, Zion Lewis",Blessed Trinity Titans,48.53
,,2A,"Jasmine Youngblood, Siera Jacobs, Kionna Walker, Kashaunna Ballard",Laney Wildcats,49.25
,,1A,"Kayla Lawrence, Antonia Jones, Akerian Florence, Ja'Shara Bruns",Mitchell County Eagles,50.36
,,1A-P,"Leah Banks, Deja Barthell, Morgan McClure, Teona Myles",Our Lady of Mercy Bobcats,49.3
,1600m Run,6A,Allie Buchalski,Johns Creek Gladiators,04:55.6
,,5A,Alex Cameron,Dunwoody Wildcats,05:01.0
,,4A,Morgan Isle,Marist War Eagles,05:07.5
,,3A,Anna Gandolfo,Blessed Trinity Titans,05:10.6
,,2A,Sahara Fletcher,Westminster Wildcats,05:16.6
,,1A,Cavana Epps,Central Tallbatton,05:54.2
,,1A-P,Naomi Grand PIerre,Whitefield Academy Wolfpack,05:05.7
,400m Dash,6A,Malayshia George,Mill Creek Hawks,53.63
,,5A,Lauren Jackson,Dunwoody Wildcats,55.09
,,4A,Crystal Gray,Redan Raiders,55.85
,,3A,Christian Pryor,Cedar Grove Saints,56.3
,,2A,Timerra Hardy,Hapeville Charter Hornets,58.06
,,1A,Jada Gardner,Marion County Eagles,59.16
,,1A-P,Chelsea Zoller,Holy Innocents' Golden Bears,56.63
,100m Dash,6A,SheKara Martin,Westlake Lions,11.77
,,5A,Cassondra Hall,Northside (Warner Robins) Eagles,11.66
,,4A,Javianne Oliver,Monroe Area Purple Hurricanes,11.65
,,3A,Maia Caldwell-Booker,West Hall Spartans,11.95
,,2A,Maileka Slayton,Greater Atlanta Christian Spartans,11.99
,,1A,Akerian Florence,Mitchell County Eagles,12.34
,,1A-P,Marquita Daniels,Southwest Atlanta Christian Warriors,12.52
,100m Intermediate Hurdles,6A,Shanel Burr,North Cobb Warriors,13.98
,,5A,Kendell Williams,Kell Longhorns,13.23
,,4A,Anasterasia Terrell,Howard (Macon) Huskies,14.31
