Year,Event,Class,Name,School,Mark
,,6A,Jazzmin Taylor,Alexander Cougars,"5' 6"""
,,5A,Taniyah Worth,Flowery Branch Falcons,"5' 4"""
,,4A,Mollie Speights,Baldwin Braves,"5' 7"""
,,3A,Danielle Shipp,Greater Atlanta Christian Spartans,"5' 4"""
,,2A,Megan Kent,Model Blue Devils,"5' 6"""
,,1A,Dasia Wyatt,Bowdon Red Devils,"5' 2"""
,,1A-P,Savannah Casey,Mt. Paran Eagles,"5' 4"""
,Long Jump,7A,MyCheri Onwuzruruike,Hillgrove Hawks,"18' 11"""
,,6A,Ariel Lawrence,Dunwoody Wildcats,"19' 4.25"""
,,5A,Kimberly Harris,Buford Wolves,"20' 2.5"""
,,4A,Brittany Trawick,Baldwin Braves,"19' 4"""
,,3A,Jaeda Hunt,Monroe (Albany) Tornadoes,"19' 1"""
,,2A,Courtney Madison,Vidalia Indians,"18' 4"""
,,1A,Brandy Mackey,Telfair County Trojans,"17' 8.25"""
,,1A-P,Meagan Lynch,Wesleyan Wolves,"18' 8"""
,Triple Jump,7A,Victoria Agyin,McEachern Indians,"40' 6"""
,,6A,Denise Issah,Pope Greyhounds,"39' 8.25"""
,,5A,Na'ilah Moore,Fayette County Tigers,"39' 2.25"""
,,4A,India Turk,Howard (Macon) Huskies,"40' 1"""
,,3A,Isis Mcvay,Monroe (Albany) Tornadoes,"38' 9.5"""
,,2A,Ja'Mya Canady,East Laurens Falcons,"38' 2.5"""
,,1A,NyAsia Howard,Telfair County Trojans,"36' 2.5"""
,,1A-P,Jasmine Barrow,Athens Academy Spartans,"39' 9.75"""
,Pole Vault,7A,Kelsey Worthington,North Gwinnett Bulldogs,"12' 0"""
,,6A,Courtney Long,Allatoona Buccaneers,"12' 0"""
,,5A,Payton Phillips,Carrollton Trojans,"11' 5"""
,,4A,Olivia Moore,Pickens Dragons,"13' 7"""
,,3A,Brooklyn Kierbow,Bremen Blue Devils,"10' 0"""
,,2A,Ellie Gretchell,Model Blue Devils,"10' 0"""
,,1A,Kaylee Brown,Gordon Lee Trojans,"10' 0"""
,,1A-P,MacKenzie Gignillliat,Walker Wolverines,"10' 0"""
,Shot Put,7A,Javon Joyner,Norcross Blue Devils,"44' 7"""
,,6A,Camille Sanders,Heritage (Conyers) Patriots,"41' 2.5"""
,,5A,Morgan Johnson,Whitewater Wildcats,"44' 4.5"""
,,4A,Tiondra Grant,Columbus Blue Devils,"39' 4"""
,,3A,Ibum Obu,Pace Academy Knights,"39' 11"""
,,2A,Treyonna Boone,Berrien Rebels,"40' 11.5"""
,,1A,Krystian Jones,Pelham Hornets,"37' 2"""
,,1A-P,Kori McDaniel,St. Francis Knights,"42' 7"""
,Discus,7A,Karena Grigenas,Marietta Blue Devils,"130' 10"""
,,6A,Elsie Igberaese,Dacula Falcons,142' 03
,,5A,Soteria Russell,Carver (ATL) Panthers,"135' 9.25"""
,,4A,Raleigh Lewis,Heritage (Catoosa) Generals,"126' 04"""
,,3A,Antania Swain,Cedar Grove Saints,"120' 9"""
,,2A,Shakira Ardister,Elbert County Blue Devils,"128' 0"""
,,1A,Ansley Whitley,Marion County Eagles,"139' 0"""
,,1A-P,Elizabeth Gibbs,Landmark Christian War Eagles,"140' 10"""
,Wheelchair,Shot Put (Class 1),Madison Watts,Warner Robins Demons,"11' 0"""
