"State","Year","Gender","Event","Mark"
"Georgia",1978,"Boys","Pole Vault",3.81
"Georgia",1978,"Girls","100m",12.1434
"Georgia",1978,"Girls","1600m",314.1672
"Georgia",1978,"Girls","800m",138.6909
"Georgia",1978,"Girls","High Jump",1.524
"Georgia",1979,"Boys","100m",10.62274
"Georgia",1979,"Boys","1600m",256.0065
"Georgia",1979,"Boys","800m",114.73068
"Georgia",1979,"Boys","High Jump",1.8288
"Georgia",1979,"Boys","Pole Vault",3.81
"Georgia",1979,"Girls","100m",11.8152
"Georgia",1979,"Girls","1600m",309.79272
"Georgia",1979,"Girls","800m",136.90134
"Georgia",1979,"Girls","High Jump",1.5748
"Georgia",1980,"Boys","100m",10.95094
"Georgia",1980,"Boys","1600m",255.21114
"Georgia",1980,"Boys","800m",112.3446
"Georgia",1980,"Boys","High Jump",1.8796
"Georgia",1980,"Boys","Pole Vault",3.81
"Georgia",1980,"Girls","100m",12.27468
"Georgia",1980,"Girls","1600m",313.6701
"Georgia",1980,"Girls","800m",137.59728
"Georgia",1980,"Girls","High Jump",1.5748
"Georgia",1981,"Boys","100m",10.84154
"Georgia",1981,"Boys","1600m",259.4862
"Georgia",1981,"Boys","800m",113.43822
"Georgia",1981,"Boys","High Jump",1.9304
"Georgia",1981,"Boys","Pole Vault",3.81
"Georgia",1981,"Girls","100m",12.17622
"Georgia",1981,"Girls","1600m",307.50606
"Georgia",1981,"Girls","800m",136.90134
"Georgia",1981,"Girls","High Jump",1.5748
"Georgia",1982,"Boys","100m",10.51334
"Georgia",1982,"Boys","1600m",253.32216
"Georgia",1982,"Boys","800m",114.333
"Georgia",1982,"Boys","High Jump",1.8796
"Georgia",1982,"Boys","Pole Vault",3.3528
"Georgia",1982,"Girls","100m",11.8152
"Georgia",1982,"Girls","1600m",307.60548
"Georgia",1982,"Girls","800m",137.1996
"Georgia",1982,"Girls","High Jump",1.524
"Georgia",1983,"Boys","100m",10.69932
"Georgia",1983,"Boys","1600m",258.9891
"Georgia",1983,"Boys","800m",114.8301
"Georgia",1983,"Boys","High Jump",1.9304
"Georgia",1983,"Boys","Pole Vault",3.6576
"Georgia",1983,"Girls","100m",12.24186
"Georgia",1983,"Girls","1600m",307.30722
"Georgia",1983,"Girls","800m",136.40424
"Georgia",1983,"Girls","High Jump",1.6002
"Georgia",1984,"Boys","100m",10.65556
"Georgia",1984,"Boys","1600m",256.60302
"Georgia",1984,"Boys","800m",114.53184
"Georgia",1984,"Boys","High Jump",1.9304
"Georgia",1984,"Boys","Pole Vault",3.5052
"Georgia",1984,"Girls","100m",12.034
"Georgia",1984,"Girls","1600m",298.35942
"Georgia",1984,"Girls","800m",136.50366
"Georgia",1984,"Girls","High Jump",1.5748
"Georgia",1985,"Boys","100m",10.73
"Georgia",1985,"Boys","1600m",252.9
"Georgia",1985,"Boys","800m",115.3
"Georgia",1985,"Boys","High Jump",1.9812
"Georgia",1985,"Boys","Pole Vault",3.6576
"Georgia",1985,"Girls","100m",11.96
"Georgia",1985,"Girls","1600m",298.3
"Georgia",1985,"Girls","800m",128.8
"Georgia",1985,"Girls","High Jump",1.5748
"Georgia",1986,"Boys","100m",10.65
"Georgia",1986,"Boys","1600m",258.8
"Georgia",1986,"Boys","800m",115.6
"Georgia",1986,"Boys","High Jump",1.9812
"Georgia",1986,"Boys","Pole Vault",3.5052
"Georgia",1986,"Girls","100m",11.86
"Georgia",1986,"Girls","1600m",304.8
"Georgia",1986,"Girls","800m",136.8
"Georgia",1986,"Girls","High Jump",1.524
"Georgia",1987,"Boys","100m",10.72
"Georgia",1987,"Boys","1600m",255.1
"Georgia",1987,"Boys","800m",112.8
