"State","Year","Gender","Event","Class","Mark"
"Ohio","2017","Boys","100m","Division II","10.57"
"Ohio","2017","Girls","1600m","Division II","4:57.13"
"Ohio","2017","Boys","1600m","Division II","4:12.83"
"Ohio","2017","Girls","800m","Division II","2:09.11"
"Ohio","2017","Boys","800m","Division II","1:54.46"
"Ohio","2017","Girls","High Jump","Division II","5-08.00"
"Ohio","2017","Boys","High Jump","Division II","6-08.00"
"Ohio","2017","Girls","Pole Vault","Division II","12-09.00"
"Ohio","2017","Boys","Pole Vault","Division II","15-02.00"
"Ohio","2017","Girls","100m","Division III","12.09"
"Ohio","2017","Boys","100m","Division III","10.91"
