Column1,Column2,Column3
"2014Bridgewater State, MA",(B) 4X8007:49.87,#NAME?
"2014Bridgewater State, MA",(B) 1 MILE4:15.42,Nick CarleoNewburyport
"2014Bridgewater State, MA",(B) 440y / 400M48.78,Chris JewettWoburn
"2013Westfield State, MA",(B) 1 MILE4:20.69,Mike O'DonnellMethuen
"2013Westfield State, MA",(G) 100y / 100M12.12,Amanda HensonBarnstable
"2013Westfield State, MA",(B) 80yd / 100M/ 110M/ 120Yd Hurdles14.26,Jung ParkNewton South
"2013Westfield State, MA",(G) 180y / 330y / 300M / 400M Hurdles1:02.50,Ally SacconeOld Rochester
"2013Westfield State, MA",(B) 880y / 800m1:53.53,Andre RolimSomerville
"2013Westfield State, MA",(G) Discus124-00,Madison BrazPlymouth South
"2013Westfield State, MA",(G) 1 MILE5:00.73,Bryanna AllisonLowell
"2013Westfield State, MA",(B) Javelin190-00,TJ NoonanWaltham
"2013Westfield State, MA",(G) 80yd / 100M/ 110M/ 120Yd Hurdles14.45,Emily DawidczykOxford
"2013Westfield State, MA",(G) 220y / 200M24.43,Amanda HensonBarnstable
"2013Westfield State, MA",(G) 4x440 / 4x4003:57.35,#NAME?
"2013Westfield State, MA",(B) 440y / 400M48.75,Ryan LuckenNewton North
"2013Westfield State, MA",(B) 100y / 100M10.72,Taj-Amir TorresAmherst-Pelham
"2013Westfield State, MA",(B) High Jump6-06.00,Alex NiemiecChicopee Comprehensive
"2013Westfield State, MA",(B) 180y / 330y / 300M / 400M Hurdles53.65,Ben ColelloLincoln-Sudbury
"2013Westfield State, MA",(G) High Jump5-06.00,Ellen DiPietroMarshfield
"2013Westfield State, MA",(B) 2 MILE9:25.69,Colin BennieWachusett
"2013Westfield State, MA",(B) 4x110y / 4x100M42.75,#NAME?
"2013Westfield State, MA",(G) Shot Put41-11.00,Sabrina SilvaRalph C. Mahar
"2013Westfield State, MA",(B) Pole Vault14-00.00,Vladimir PopusoiGreenfield
"2013Westfield State, MA",(G) Javelin131-08,Molly McCauslandMillbury
"2013Westfield State, MA",(G) 4x110y / 4x100M49.13,#NAME?
"2013Westfield State, MA",(B) Shot Put58-06.00,Eric BeckwithNorth Attleboro
"2013Westfield State, MA",(G) Team Champion35,HinghamHingham
"2013Westfield State, MA",(B) 4x440 / 4x4003:22.04,#NAME?
