2007 Girls Track & Field State Champions,x,x,x
AAAA  Chase Ealey Los Alamos  12.88,,,
AAA Krista Armstead  Sandia Prep  12.54,,,
AA Kassi Geary Clayton 12.85,,,
A LaNay Chenshaw Fort Sumner 12.90,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Amber Battle Cibola  25.13,,,
AAAA  Kourtni Ashcroft  Kirtland Central 26.11,,,
AAA Krista Armstead  Sandia Prep 24.77,,,
AA Kassi Geary Clayton 26.83,,,
A Cara Barnard Melrose 26.62,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Zoe Meade Oñate 57.19,,,
AAAA  Aracely Macias Goddard 58.63,,,
AAA Kessi Walsh Hope Christian 59.30,,,
AA Kiara Clover Santa Fe Prep  60.82,,,
A Taylor Huey Corona 60.61,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Beth Wright Albuquerque High 2:17.43,,,
AAAA  Paige Throckmorton Albuquerque Academy  2:16.80,,,
AAA Erika Nelson Hope Christian 2:21.57,,,
AA Adrienne Montoya Estancia 2:23.74,,,
A Christa Boyle  Fort Sumner 2:28.04,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Beth Wright Albuquerque High 5:12.71,,,
AAAA  Julia Foster Albuquerque Academy  4:58.39,,,
AAA Kate Norskog  St. Michaels 5:19.08,,,
AA Caroline Kaufman East Mountain  5:22.99,,,
A Christa Boyle  Fort Sumner 5:34.15,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Gloria Sevilla,Gadsden,11:58.5,
AAAA  Julia Foster,Albuquerque Academy,11:01.1,
AAA Kate Norskog,St. Mike’s,11:48.8,
AA Caroline Kaufman,East Mountain,12:14.4,
A Christa Boyle,Fort Sumner,12:19.6,
,,,
100 M Hurdles (33”),,,
Class Name,School,Time,
AAAAA Katie Thompson,Sandia,15.73,
AAAA  Kelli Williams,Belan,16.19,
AAA Krista Armstead,Sandia Prep,15.79,
AA Erin Thomas,Estancia,16.73,
A Ashley Landreth,Fort Sumner,17.19,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Anika Newell,Highland,45.69,
AAAA  Kourtni Ashcroft,Kirtland Central,45.92,
AAA Krista Armstead,Sandia Prep,44.02,
AA Brooke Hamilton,Rehoboth,50.13,
A Ashley Landreth,Fort Sumner,47.86,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Mayfield,48.95,
AAAA,Los Alamos,49.56,
AAA,Hope Christian,50.75,
AA,Tucumcari,52.25,
A,Cimarron,50.75,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Oñate,01:43.2,
AAAA,Albuquerque Academy,01:45.0,
AAA,Lovington,01:47.3,
AA,Texico,01:52.3,
A,Cimarron,01:49.9,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,La Cueva,04:15.9,
AAAA,Albuquerque Academy,04:12.9,
AAA,Hope Christian,04:22.7,
AA,Estancia,04:34.5,
A,Fort Sumner,04:31.9,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,04:01.4,
AAAA,Los Alamos,04:03.5,
AAA,Hope Christian,04:09.2,
AA,Santa Fe Prep,04:21.6,
A,Fort Sumner,04:13.4,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Marivel Garza,Clovis,37’-04.50”,
AAAA  Melanie Heslop,Kirtland Central,41’-05.50”,
AAA Samantha Trujillo,Hot Springs,33’-05.50”,
AA Adrienne Trujillo,Clayton,34’-01.50”,
A Shanna Anthony,Elida,33’-04.50”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Lashira Adams,Highland,121’-04.00”,
AAAA  Melanie Heslop,Kirtland Central,124’-08.00”,
AAA Leslie Waseta,Zuni,96’-11.00”,
AA Alma Lesperance,Estancia,102’.00.00”,
A Madison Coss,Cimarron,106’-06.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Ebony Owens,Highland,17’-04.00”,
AAAA  Emily Weeks,Los Alamos,17’-00.50”,
AAA Kristen Montano,Robertson,17’-02.00”,
AA Yeshemabet Turner,Pecos,17’-03.00”,
A Mariah Peralta,Cliff,17’-10.00”,
High Jump,,,
Class Name,,School,Distance
AAAAA Cassi House,,Cleveland,5’-06.00”
AAAA  Laura Wendelberger,,Los Alamos,5’-04.00”
AAA TyLynn Smith,,Ruidoso,5’-02.00”
AA Katlin Luscombe,,Texico,5’-00.00”
A Cara Barnard,,Melrose,4’-10.00”
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Ebony Owens,,Highland,36’-06.00”
AAAA  Aasha Marler,,Hope Christian,36’-04.50”
AAA Jordan Miller,,St. Mike’s,34’-02.25”
AA Yeshemabet Turner,,Pecos,36’-07.25”
A Cara Barnard,,Melrose,34’.09.75”
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Anicka Newll,,Highland,10’-06.00”
AAAA  Brittany Clark,,Artesia,10’-00.00”
AAA Karina Antillon,,Lovington,8’-06.00”
AA Dusti-Rae Eldridge,,Capitan,8’-06.00”
A Anna Stirling,,Cimarron,12’-00.00”
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Carol Waterman,,Rio Rancho,128’-01.00”
AAAA  Alexandra Nichols,,Los Alamos,128’-06.00”
AAA Felicia Chavez,,Cuba,127’-10.00”
AA Renae Roybal,,Santa Rosa,128’.09.00”
A Tori Tucker,,Floyd,132’-07.00”
2011 Girls Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Jenna Banegas Mayfield 12.19,,,
AAAA  Chase Ealey Los Alamos 12.52,,,
AAA Aasha Marler Hope Christian 12.65,,,
AA Yeshemabet Turner Pecos 12.82,,,
A Lacy Harris Cimarron 12.89,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Kendra Walker  Oñate 26.07,,,
AAAA  Faith Cobb Miyamura 26.32,,,
AAA Aasha Marler Hope Christian 26.29,,,
AA Yeshemabet Turner Pecos 26.04,,,
A Cara Barnard Melrose 26.38,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Mickey Brown La Cueva 56.14,,,
AAAA  Aracely Macias Goddard 58.82,,,
AAA Amanda Babicke Pojoaque 57.55,,,
AA Rachel Ness Estancia 59.59,,,
A Taylor Huey Corona 1.00.62,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Beth Wright Albuquerque High 2:17.72,,,
AAAA  Nisa Rascon Valencia 2:15.97,,,
AAA Erika Nelson Hope Christian 2:20.91,,,
AA Jacqueline Katzman Bosque 2:24.08,,,
A Christa BoyleFort Sumner 2:29.86,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Caroline Lewiecki Manzano 5:18.88,,,
AAAA  Julia Foster Albuquerque Academy 5:06.90,,,
AAA Kate Norskog  St. Michael’s 5:33.72,,,
AA Caroline Kaufman East Mountain  5:27.11,,,
A Christa BoyleFort Sumner  5:31.82,,,
3200 M Run,,,
