2007 Boys Track & Field State Champions,x,x,x
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,La Cueva,03:32.5,
AAAA,ABQ. Academy,03:37.2,
AAA,Sandia Prep,03:44.5,
AA,Texico,03:47.0,
A,Magdalena,03:56.1,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,La Cueva,03:23.3,
AAAA,Santa Teresa,03:28.2,
AAA,Sandia Prep,03:31.3,
AA,Capitan,03:30.9,
A,Mountainair,03:33.5,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Richard Chavez,Clovis,58-03.50,
AAAA  Kenny Howard,Farmington,51-11.50,
AAA Weston Tramell,Lovington,45-11.00,
AA Chris Sanchez,Santa Rosa,49-02.00,
A Carl Lueras,Carrizozo,51-08.00,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Richard Chavez,Clovis,171-05,
AAAA  Justin Mathewson,ABQ. Academy,133-11,
AAA Weston Tramell,Lovington,136-04,
AA Seth Lilly,Hagerman,133-06,
A Carl Lueras,Carrizozo,145-09,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Rolando Trammel,Highland,22-10.25,
AAAA  Victor Dana,Artesia,22-00.00,
AAA Estevan Vigil,Robertson,21-08.00,
AA Ilyas Seisov,Estancia,21-05.50,
A Ross Miller,Clovis Christian,21-04.00,
High Jump,,,
Class Name,,School,Distance
AAAAA Tim Young,,Onate,6-05.00
AAAA  Curtis Beach,,ABQ. Academy,6-07.00
AAA Christopher Ellis-Phillips,,West Las Vegas,6-02.00
AA Junior Caraza,,Eunice,6-04.00
A Ross Miller,,Clovis Christian,6-00.00
,,,
Triple Jump,,,
Class Name,,School,Distance
AAAAA Rolando Trammel,,Highland,46-02.75
AAAA  Kyle Ntiforo,,Belen,45-00.50
AAA Dominic Heuser,,Cuba,44-11.75
AA Junior Caraza,,Eunice,43-07.50
A Clint Barnard,,Melrose,40-10.50
,,,
Pole Vault,,,
Class Name,,School,Distance
AAAAA Dane Bevins,,Rio Rancho,13-09.00
AAAA  Curtis Beach,,ABQ. Academy,15-03.00
AAA Dominic Valdez,,St. Michael’s,12-06.00
AA Trevor Thompson,,Jal,13-00.00
A Barrett Williamson,,Fort Sumner,12-06.00
,,,
Javelin,,,
Class Name,,School,Distance
AAAAA Brian Richards,,La Cueva,173-04
AAAA  Austin Hilton,,Deming,165-00
AAA Blake Young,,Lovington,174-01
AA Ryan Diller,,Clayton,179-05
A Junior Hernandez,,Cliff,169-09
2010 Boys Track & Field State Champions,,,
,,,
,,,
100 M Dash,,,
Class Name School  Time,,,
AAAAA Charles Lewis  Highland  10.98,,,
AAAA  Joshua Newsome Farmington  11.31,,,
AAA Estevan Vigil Robertson  11.02,,,
AA Lucas Benavidez Tucumcari 11.43,,,
A Mike Urioste Clovis Christian 11.42,,,
,,,
200 M Dash,,,
Class Name School  Time,,,
AAAAA Taylor Weary  Alamogordo 21.90,,,
AAAA  Jake Espinoza  Aztec 22.31,,,
AAA Estevan Vigil Robertson 21.93,,,
AA Lucas Benavidez Tucumcari 23.35,,,
A Mike Urioste Clovis Christian 23.35,,,
,,,
400 M Dash,,,
Class Name School  Time,,,
AAAAA Taylor Weary  Alamogordo 48.37,,,
AAAA  Jake Espinoza  Aztec 48.85,,,
AAA Estevan Vigil Robertson 49.76,,,
AA Edgardo Meza  Texico  50.93,,,
A Skylar McMath Fort Sumner 51.15,,,
,,,
800 M Dash,,,
Class Name School  Time,,,
AAAAA Josh Garcia Alamogordo 1:54.86,,,
AAAA  Alex Herring Albuquerque Academy  1:54.58,,,
AAA John Cordova  Hope Christian 1:58.28,,,
AA Henrique Chavez Mora 2:00.56,,,
A Skylar McMath Fort Sumner 2:01.41,,,
,,,
1600 M Run,,,
Class Name School  Time,,,
AAAAA Caleb Rubalcaba Rio Rancho 4:26.02,,,
AAAA  Alex Herring Albuquerque Academy  4:23.57,,,
AAA Eric Fenton Hope Christian 4:32.75,,,
AA Henrique Chavez Mora 4:39.09,,,
A Daniel Hand Magdalena 4:48.94,,,
3200 M Run,,,
Class Name,School,Time,
AAAAA Christian Meyer,Sandia,09:33.9,
AAAA  Kyle Pittman,Los Alamos,09:19.6,
AAA Stephen Kersh,Sandia Prep,09:50.8,
AA Antonio Varela,Pecos,10:15.7,
A Reynaldo Balizan,Maxwell,10:49.7,
,,,
110 M Hurdles,,,
Class Name,School,Time,
AAAAA Charles Lewis,Highland,14.62,
AAAA  Riley McGovern,Farmington,15,
AAA Cody Small,Portales,15.58,
AA John Goodwin,Capitan,15.66,
A Kolter West,Fort Sumner,15.99,
,,,
300 M Hurdles,,,
Class Name,School,Time,
AAAAA Charles Lewis,Highland,38.25,
AAAA  Riley McGovern,Farmington,39.18,
AAA Cody Small,Portales,44.02,
AA Junior Caraza,Eunice,40.86,
A Lance Widner,Melrose,41.83,
,,,
400 M Relay,,,
Class,School,Time,
AAAAA,Rio Rancho,42.24,
AAAA,Aztec,42.91,
AAA,Lovington,44.03,
AA,Clayton,44.83,
A,Cliff,45.5,
,,,
800 M Relay,,,
Class,School,Time,
AAAAA,Cibola,01:27.7,
AAAA,Aztec,01:28.8,
AAA,Lovington,01:32.0,
AA,Tucumcari,01:33.7,
A,Tatum,01:36.2,
1600 M Relay Medley,,,
Class,School,Time,
AAAAA,Cibola,03:32.6,
AAAA,Los Alamos,03:34.7,
AAA,Lovington,03:42.2,
AA,Hagerman,03:53.3,
A,Fort Sumner,03:50.5,
,,,
1600 M Relay,,,
Class,School,Time,
AAAAA,Cibola,03:21.1,
AAAA,Farmington,03:24.0,
AAA,Robertson,03:30.1,
AA,Texico,03:33.7,
A,Fort Sumner,03:36.0,
,,,
Shot Put,,,
Class Name,School,Distance,
AAAAA Richard Chavez,Clovis,56’-04.50”,
AAAA  Adrian Trujillo,Volcano Vista,48’-05.75”,
AAA Michael Lamb,St. Michael’s,47’-04.00”,
AA Chris Sanchez,Santa Rosa,49’-10.00”,
A Colby Snellar,Melrose,43’-06.00”,
,,,
Discus,,,
Class Name,School,Distance,
AAAAA Richard Chavez,Clovis,176’-09.00”,
AAAA  Oliver Funsten,Los Alamos,162’-02.00”,
AAA David Robinson,Socorro,126’-05.00”,
AA Alex Hutchins,Tucumcari,143’.08.00”,
A Kenny Duong,Clovis Christian,124’-05.00”,
,,,
,,,
Long Jump,,,
Class Name,School,Distance,
AAAAA Larry Dupree,Rio Rancho,23’-08.75”,
